name,primaryMuscles,secondaryMuscles,equipment,mechanic,force,movement_pattern,difficulty_level,category,skill_level,fatigue_score,stimulus_score,sfr_ratio,axial_load,recovery_time_hours,order_priority,gifUrl,goal_Strength,goal_Muscle,goal_WeightLoss,goal_Endurance,goal_General,Strength_min_reps,Strength_max_reps,Strength_rest_seconds,Strength_sets,Muscle_min_reps,Muscle_max_reps,Muscle_rest_seconds,Muscle_sets,WeightLoss_min_reps,WeightLoss_max_reps,WeightLoss_rest_seconds,WeightLoss_sets,Endurance_min_reps,Endurance_max_reps,Endurance_rest_seconds,Endurance_sets,General_min_reps,General_max_reps,General_rest_seconds,General_sets,contraindications,instructions
One-Handed Lateral Raise – Cable,shoulders,shoulders,cable,isolation,,shoulder_raise,3,strength,intermediate,1,7,7.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,rotator_cuff_tear|shoulder_impingement,Stand upright with your feet shoulder-width apart and your knees slightly bent. | Hold the cable handle in one hand with an overhand grip. | Keep your arm straight and your palm facing down. | Engage your core and maintain a neutral spine. | Exhale and slowly lift your arm out to the side until it reaches shoulder level. | Pause for a moment and squeeze your shoulder muscles. | Inhale and slowly lower your arm back down to the starting position. | Repeat for the desired number of repetitions. | Switch sides and perform the exercise with the other arm.
One-Handed Leaning Lateral Raise – Dumbbell,shoulders,shoulders|abdominals,dumbbell,isolation,,shoulder_raise,3,strength,intermediate,2,6,3.0,1,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,rotator_cuff_tear|shoulder_impingement,"Stand with your feet shoulder-width apart and a dumbbell in your left hand. | Slightly lean your right shoulder against a wall or stable structure. Aim for a 60-degree angle between you and the ground. | Keep your back straight and core engaged. This is your starting position. | Slowly lift the dumbbell to the side, keeping your arm slightly bent. Raise it until your left arm is perpendicular with your body. | Pause at the top of the movement, then slowly lower the dumbbell back to the starting position. | Repeat the desired number of repetitions before switching to the other side."
One-Handed Overhead Contralateral Step-Up – Dumbbell,glutes|quadriceps,abdominals|calves|hamstrings|shoulders,dumbbell,compound,,lunge,3,strength,intermediate,8,8,1.0,5,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,ankle_injury|hip_impingement|knee_injury,"Stand in front of a step or bench with feet hip-width apart and a dumbbell in one hand. | Press the dumbbell overhead with the arm fully extended, keeping the core engaged. | Place the opposite foot on the step, ensuring the entire foot is on the platform. | Push through the heel of the foot on the step to lift your body up, while keeping the dumbbell arm extended overhead. | Bring the trailing leg up to join the lead on the step, achieving a balanced position. | Carefully step back down with the trailing leg first, followed by the lead leg. | Maintain control and balance throughout the movement, keeping the dumbbell overhead. | Repeat for desired reps, then switch arms and legs."
One-Handed Overhead Tricep Extension – Dumbbell,triceps,,dumbbell,isolation,,elbow_extension,3,strength,intermediate,2,6,3.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,elbow_tendinitis|tennis_elbow|tricep_tendinitis,"Stand with your feet shoulder-width apart and hold a dumbbell in one hand. | Extend your arm straight up, holding the dumbbell above your head. | Bend your elbow and lower the dumbbell behind your head, keeping your upper arm stationary. | Pause for a moment, then extend your arm back up to the starting position. | Repeat for the desired number of reps, then switch to the other arm."
One-Handed Plank,abdominals|shoulders,chest|lower back|abdominals,body only,compound,,core_flexion,3,strength,intermediate,3,5,1.67,1,24,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,diastasis_recti|disc_herniation|lower_back_injury,"Begin in a standard push-up position with your hands on the ground and elbows aligned below your shoulders, and your body forming a straight line from your head to your heels. | Spread your legs slightly wider than hip-width apart to provide additional stability. | Shift your weight onto your left hand as you slowly lift your right hand off the ground, wrapping it behind your back or under your sternum. | Engage your core, glutes, and thigh muscles to prevent your hips from dropping or rotating. | Hold the one-handed plank for the desired duration, breathing steadily throughout the exercise. | Lower your right hand back to the starting plank position with control. | Repeat the exercise by shifting your weight onto your right hand and wrapping your left hand behind your back or under your sternum."
One-Handed Plate Pinch,forearms,,body only,compound,,other,3,strength,intermediate,4,5,1.25,2,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,,"Choose two weight plates of the same size and weight. | Stand facing the plates and place them on the ground. | Bend down and grip the top of each plate with your fingers and thumbs. | Lift the plates off the ground and hold them beside your body with your arms hanging, elbows straight, but not locked. | Squeeze your fingers and thumbs together to maintain a strong grip on the plates. | Hold the plates for a set amount of time. Consider each second one ""repetition"". | Lower the plates back to the ground and release your grip."
One-Handed Plate Wrist Curl,forearms,,body only,isolation,,elbow_flexion,3,strength,intermediate,1,6,6.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,bicep_tendinitis|elbow_tendinitis|golfers_elbow,"Start by sitting on a bench or chair with your feet flat on the ground. | Hold a weight plate with an underhand grip, placing your hand on the inside rim of the plate. | Rest your forearm on your thigh, with your wrist hanging off the edge and pointing to the ceiling. | Lower the weight plate towards the ground by flexing your wrist, keeping your forearm stationary. | Pause for a moment at the bottom of the movement, feeling the stretch in your wrist. | Slowly curl the weight plate back up towards your body. | Repeat for the desired number of reps and then switch sides."
One-Handed Row – Dumbbell,lats|shoulders|traps,biceps|forearms|shoulders,dumbbell,compound,,horizontal_pull,3,strength,intermediate,7,9,1.29,5,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,bicep_tendinitis|lower_back_injury,"Stand with your feet shoulder-width apart and your knees slightly bent. | Hold a dumbbell in one hand with your palm facing your body. | Bend forward at the waist, keeping your back straight and your abs engaged. | Let the dumbbell hang straight down towards the floor. | Exhale and pull the dumbbell up towards your chest, keeping your elbow close to your body. | Squeeze your shoulder blades together at the top of the movement. | Inhale and slowly lower the dumbbell back down towards the floor. | Repeat for the desired number of reps, then switch sides and repeat."
One-Handed Shoulder Press – Landmine,chest|shoulders|triceps,abdominals|shoulders|traps,barbell,compound,,vertical_push,3,strength,intermediate,8,8,1.0,7,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,neck_injury|rotator_cuff_tear|shoulder_impingement,"Position a barbell securely in a landmine attachment or securely in a corner to prevent it from sliding. | Load the desired weight onto the free end of the barbell. | Stand facing the barbell with your feet shoulder-width apart for stability. | Bend slightly to grab the barbell with one hand directly where the barbell is loaded. | Raise the barbell to your shoulder level, switching your grip so that your hand is under the barbell and your palm faces your chin over a bent and tucked elbow. This is your starting position. | Brace your core, and exhale as you press the barbell upward and slightly forward by extending your arm. | Keep your body straight and avoid rotating your hips or shoulders during the press. | Inhale as you slowly return the barbell to the starting position at your shoulder. | Complete all reps on one side before switching hands to work the opposite side."
One-Handed Standing Chest Fly – Band,chest,biceps|forearms|shoulders,band,isolation,,horizontal_push,3,strength,beginner,3,8,2.67,1,48,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,pec_tear|rotator_cuff_tear|shoulder_impingement,"Find a sturdy stationary object, such as a pole or a door anchor, and attach one end of the resistance band to it at chest height. | Stand with your feet shoulder-width apart, facing away from the stationary object. | Hold the free end of the resistance band in one hand, with your palm facing forward. | Position yourself at a distance from the stationary object so that there is tension in the band when your arm is extended forward at chest height. | Keep your elbow slightly bent and your arm extended out to the side at shoulder height. | Engage your core muscles to stabilize your torso. | With a slight bend in your elbow, bring your arm across your chest in a sweeping motion while keeping your chest open. | Feel the stretch in your chest muscles as you bring your arm across your body. | Return your arm to the starting position in a controlled manner. | Complete the desired number of repetitions on one side before switching to the other."
One-Handed Standing Chest Fly – Cable,chest|shoulders,abdominals|shoulders,cable,isolation,,horizontal_push,3,strength,intermediate,3,9,3.0,1,48,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,pec_tear|rotator_cuff_tear|shoulder_impingement,"Adjust the cable machine pulley to shoulder height and attach a single handle. | Stand with your side facing the cable machine and grab the handle with your nearest hand. | Step away from the machine to create tension on the cable, feet shoulder-width apart and knees slightly bent for stability. | Straighten your arm with a slight bend in the elbow, positioning it parallel to the floor. | Brace your core and keep your hips and shoulders squared forward. This is your starting position. | Pull the handle just across your sternum, allowing your chest muscles to fully contract while keeping your arm slightly bent. | Slowly return the handle to the starting position while controlling the resistance. | Complete the desired number of repetitions and then switch sides."
One-Handed Suitcase Walking Lunge – Dumbbell,glutes|hamstrings|quadriceps,abdominals|calves|forearms|lower back|traps,dumbbell,compound,,lunge,3,strength,intermediate,8,8,1.0,5,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,ankle_injury|hip_impingement|knee_injury,"Stand upright with feet shoulder-width apart while holding a dumbbell in one hand by your side, similar to carrying a suitcase. | Keep your chest up, shoulders back, and core engaged. | Step forward with one leg into a lunge position, ensuring your front knee is directly above your ankle and your back knee is hovering just above the ground. | Push through the heel of your front foot to bring your back leg forward into the starting position, keeping the dumbbell steady by your side. | Continue the lunge by stepping forward with the opposite leg, maintaining balance and proper form. | Repeat the walking lunge series for the desired number of repetitions or distance while keeping the dumbbell in the same hand. | Switch the dumbbell to the other hand and repeat for balance after completing the set with one side."
One-Handed Tricep Pushdown – Cable,triceps,,cable,isolation,,elbow_extension,3,strength,intermediate,1,7,7.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,elbow_tendinitis|tennis_elbow|tricep_tendinitis,"Stand facing a cable machine with your feet shoulder-width apart. | Grasp the cable attachment with one hand, palm facing down. | Position your elbow at a 90-degree angle and keep it close to your side. | Engage your core and maintain a neutral spine. | Exhale and extend your arm down, fully straightening your elbow. | Pause for a moment, squeezing your tricep muscle. | Inhale and slowly return your arm to the starting position, maintaining control. | Repeat for the desired number of repetitions and then switch arms."
One-Handed Wrist Curl – Dumbbell,forearms,,dumbbell,isolation,,elbow_flexion,3,strength,intermediate,2,6,3.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,bicep_tendinitis|elbow_tendinitis|golfers_elbow,"Sit on a bench, resting your forearm on your knee, gripping a dumbbell in one hand with your palm facing up. | Bending at the wrist, extend your knuckles towards the floor. | Curl your wrist upward, bringing the dumbbell towards your forearm. | Pause for a moment at the top of the movement, squeezing your forearm muscles. | Slowly lower the dumbbell back to the starting position, fully extending your wrist. | Repeat for the desired number of repetitions. | Switch hands and repeat the exercise with the other hand."
One-Handed Wrist Extension – Dumbbell,forearms,,dumbbell,isolation,,other,3,strength,intermediate,3,5,1.67,2,36,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,,"Hold a dumbbell with an overhand grip. | Sit on a bench with your feet shoulder-width apart. | Rest your forearm on the top of your thigh, with your palm facing down. | Slowly lift the dumbbell by extending your wrist, keeping your elbows stationary. Focus on bringing your knuckles back towards the top of your forearm. | Hold the dumbbell at the top of the movement for a moment. | Lower the dumbbell back down to the starting position by flexing your wrist towards the floor. | Repeat for the desired number of reps and then switch sides."
One-Leg Front Foot Elevated Split Squat – Dumbbell,glutes|quadriceps,calves|hamstrings|lower back,dumbbell,compound,,squat,3,strength,intermediate,9,10,1.11,8,72,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,hip_impingement|knee_injury|lower_back_injury,"Place a 12-16 inch plyobox in front of you and hold dumbbells of the desired weight. | Step onto the plyobox with your front foot, creating a split stance. | Engage your core and keep your chest lifted. | Lunge forward by bending the front foot's knee, allowing your back knee to lower towards the ground. | Lean forward slightly to allow your front knee to move past your toes, ensuring full knee flexion. | Push through your front heel to return to the standing position. | Repeat the movement for your desired number of repetitions then switch legs."
One-Leg Kneeling Bottoms-Up Hold – Kettlebell,shoulders,shoulders,kettlebell,compound,,other,3,strength,intermediate,5,5,1.0,2,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,,Hold a kettlebell in your left hand. | Kneel with your left knee and right foot on the ground. | Raise the kettlebell by the handle so that you're balancing it upside-down. | Keep your elbow stacked directly below your wrist. | Flex your shoulder to 90 degrees and bend your elbow to 90 degrees. | Hold the kettlebell with your arm in this position for the desired amount of time. | Repeat the exercise on the other side from the same amount of time to complete a set.
One-Leg Lying Heel Slide,hamstrings,calves|glutes|lower back,body only,compound,,other,3,strength,intermediate,4,5,1.25,0,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,,"Lie down on your back on a padded surface with the target leg straight. | Wear a pair of socks or place a slider disc under the heel of the target leg. The goal is to be able to slide your heel on the floor. | Engage your core and keep your non-working leg bent with the foot flat on the floor. This is your starting position. | Slide your heel across the floor towards your buttocks, bending your knee as you go. Focus on contracting your hamstring on the sliding leg. | Slowly slide your heel back down to return to the straight leg position. | Repeat the movement for your desired number of repetitions then switch sides."
One-Leg Prone Hip Extension,glutes|hamstrings,lower back,body only,isolation,,hip_hinge,3,strength,intermediate,7,9,1.29,9,48,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,disc_herniation|lower_back_injury|sciatica,"Lie down on your stomach with your arms extended out in front of you for support. | Engage your core to stabilize your lower back and minimize anterior pelvic tilt. | Lift one heel up towards the ceiling while keeping the knee straight and the foot flexed. | Hold the lifted position for 5-10 seconds, focusing on the contraction in the glutes and hamstrings. | Slowly lower your leg back down to the ground. | Repeat the movement on the same side for your desired number of repetitions, then switch to the other leg."
One-Legged Balance,calves,,body only,compound,,other,3,strength,intermediate,4,5,1.25,2,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,,Stand tall with your feet hip-width apart. | Shift your weight onto one leg and lift the other leg off the ground. | Engage your core muscles to maintain balance. | Keep your standing leg slightly bent and your knee aligned with your toes. | Find a focal point to help you maintain balance and focus. | Hold the position for a desired amount of time. | Switch legs and repeat the exercise.
One-Legged Cable Kickback,glutes,hamstrings,cable,isolation,push,other,3,strength,intermediate,1,6,6.0,1,36,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,,"Hook a leather ankle cuff to a low cable pulley and then attach the cuff to your ankle. | Face the weight stack from a distance of about two feet, grasping the steel frame for support. | While keeping your knees and hips bent slightly and your abs tight, contract your glutes to slowly ""kick"" the working leg back in a semicircular arc as high as it will comfortably go as you breathe out. Tip: At full extension, squeeze your glutes for a second in order to achieve a peak contraction. | Now slowly bring your working leg forward, resisting the pull of the cable until you reach the starting position. | Repeat for the recommended amount of repetitions. | Switch legs and repeat the movement for the other side."
One-Legged Glute Bridge,glutes|hamstrings,adductors,body only,compound,,hip_hinge,3,strength,intermediate,9,9,1.0,9,72,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,disc_herniation|lower_back_injury|sciatica,Start by lying on your back with your knees bent and feet flat on the ground. | Lift your right leg off the ground and extend it straight up towards the ceiling. | Press your left foot into the ground and lift your hips up towards the ceiling. | Pause at the top of the movement and squeeze your glutes. | Lower your hips back down to the ground and repeat for the desired number of reps. | Switch legs and repeat the exercise on the other side.
One-Legged Hip Thrust,glutes,hamstrings|adductors,body only,compound,,hip_hinge,3,strength,intermediate,9,9,1.0,9,72,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,disc_herniation|lower_back_injury|sciatica,"Begin by lying on your back with your knees bent and feet flat on the ground. | Extend one leg straight out, keeping it in line with your hip. | Place your hands on the ground by your sides for support. | Engage your glutes and lift your hips up towards the ceiling, keeping your extended leg straight. | Pause at the top of the movement, then slowly lower your hips back down to the ground. | Repeat for the desired number of reps, then switch legs."
Open Palm Kettlebell Clean,hamstrings,glutes|lower back|quadriceps|shoulders,kettlebell,compound,pull,hip_hinge,5,strength,advanced,10,9,0.9,9,84,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,disc_herniation|lower_back_injury|sciatica,"Place one kettlebell between your feet. Clean the kettlebell by extending through the legs and hips as you raise the kettlebell towards your shoulders. | Release the kettlebell as it comes up, and let it flip so that the ball of the kettlebell lands in the palms of your hands. | Release the kettlebell out in front of you and catch the handle with both hands. Lower the kettlebell to the starting position and repeat."
Otis-Up,abdominals,chest|shoulders|triceps,other,compound,pull,core_flexion,2,strength,beginner,3,5,1.67,1,24,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,diastasis_recti|disc_herniation|lower_back_injury,"Secure your feet and lay back on the floor. Your knees should be bent. Hold a weight with both hands to your chest. This will be your starting position. | Initiate the movement by flexing the hips and spine to raise your torso up from the ground. | As you move up, press the weight up so that it is above your head at the top of the movement. | Return the weight to your chest as you reverse the sit-up motion, ensuring not to go all the way down to the floor."
Overhead Cable Curl,biceps,,cable,isolation,pull,elbow_flexion,3,strength,beginner,1,7,7.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,bicep_tendinitis|elbow_tendinitis|golfers_elbow,"To begin, set a weight that is comfortable on each side of the pulley machine. Note: Make sure that the amount of weight selected is the same on each side. | Now adjust the height of the pulleys on each side and make sure that they are positioned at a height higher than that of your shoulders. | Stand in the middle of both sides and use an underhand grip (palms facing towards the ceiling) to grab each handle. Your arms should be fully extended and parallel to the floor with your feet positioned shoulder width apart from each other. Your body should be evenly aligned the handles. This is the starting position. | While exhaling, slowly squeeze the biceps on each side until your forearms and biceps touch. | While inhaling, move your forearms back to the starting position. Note: Your entire body is stationary during this exercise except for the forearms. | Repeat for the recommended amount of repetitions prescribed in your program."
Overhead Slam,lats,,medicine ball,compound,pull,vertical_pull,2,plyometrics,beginner,5,8,1.6,1,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,rotator_cuff_tear|shoulder_impingement,"Hold a medine ball with both hands and stand with your feet at shoulder width. This will be your starting position. | Initiate the countermovement by raising the ball above your head and fully extending your body. | Reverse the motion, slamming the ball into the ground directly in front of you as hard as you can. | Receive the ball with both hands on the bounce and repeat the movement."
Overhead Squat,quadriceps,abdominals|calves|glutes|hamstrings|lower back|shoulders|triceps,barbell,compound,push,squat,5,olympic weightlifting,advanced,10,10,1.0,9,84,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,hip_impingement|knee_injury|lower_back_injury,"Start out by having a barbell in front of you on the floor. Your feet should be wider than shoulder width apart from each other. | Bend the knees and use a pronated grip (palms facing you) to grab the barbell. Your hands should be at a wider than shoulder width apart from each other before lifting. Once you are positioned, lift the barbell up until you can rest it on your chest. | Move the barbell over and slightly behind your head and make sure your arms are fully extended. Keep your head up at all times and also maintain a straight back. Retract your shoulder blades. This is your starting position. | Slowly lower the weight by bending your knees until your thighs are parallel to the ground while inhaling. Tip: Keep your back straight while performing this exercise to avoid any injuries and your arms should remain extended and over your head at all times. | Now use your feet and legs to help bring the weight back up to the starting position while exhaling. | Repeat for the recommended amount of repetitions."
Overhead Tricep Extension – Barbell,triceps,,barbell,isolation,,elbow_extension,3,strength,intermediate,3,6,2.0,1,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,elbow_tendinitis|tennis_elbow|tricep_tendinitis,"Stand with your feet shoulder-width apart and hold a barbell with an overhand grip. | Bring the barbell behind your head, keeping your elbows close to your ears. | Extend your arms upward, straightening your elbows and lifting the barbell above your head. | Pause briefly at the top of the movement, then slowly lower the barbell back behind your head. | Repeat for the desired number of repetitions."
Overhead Tricep Extension – Bodyweight,triceps,,body only,isolation,,elbow_extension,3,strength,intermediate,1,6,6.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,elbow_tendinitis|tennis_elbow|tricep_tendinitis,"Set a stationary bar (ex. Smith Machine) at hip height | Stand with your feet shoulder-width, lean forward, and grab the bar with your arms in front of you. | Bend your elbows and lower your head forward and below the bar. Keep your elbows close to your ears. | Squeeze your triceps to extend your arms to the starting position. | Repeat."
Overhead Tricep Extension – Cable With Rope,triceps,,cable,isolation,,elbow_extension,3,strength,intermediate,1,7,7.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,elbow_tendinitis|tennis_elbow|tricep_tendinitis,Attach a rope to a cable machine at a low setting. | Face the machine and grab the rope with an overhand grip. | Step back to create tension in the cable and keep your feet shoulder-width apart. | Keep your elbows close to your head and your upper arms stationary. | Extend your forearms down until your arms are fully extended. | Pause for a moment and then slowly return to the starting position. | Repeat for desired number of repetitions.
Overhead Tricep Extension – Machine,triceps,,machine,isolation,,elbow_extension,3,strength,beginner,1,7,7.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,elbow_tendinitis|tennis_elbow|tricep_tendinitis,"Adjust the seat height so your arms comfortably reach the handles with your elbows at a 90-degree angle. | Sit down on the machine bench and grasp the handles with your palms facing each other. | Keep your elbows close to your head and your back flat against the pad throughout the exercise. | Exhale and extend your arms, pushing the handles overhead until your arms are fully extended but not locked. | Pause momentarily at the top of the movement, focusing on contracting your triceps. | Inhale as you slowly lower the handles back to the starting position, maintaining control and tension on the triceps. | Repeat for the desired number of repetitions."
Pallof Press,abdominals,chest|shoulders|triceps,cable,compound,pull,core_flexion,2,strength,beginner,2,5,2.5,0,24,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,diastasis_recti|disc_herniation|lower_back_injury,"Connect a standard handle to a tower, andâ€”if possibleâ€”position the cable to shoulder height. If not, a low pulley will suffice. | With your side to the cable, grab the handle with both hands and step away from the tower. You should be approximately arm's length away from the pulley, with the tension of the weight on the cable. | With your feet positioned hip-width apart and knees slightly bent, hold the cable to the middle of your chest. This will be your starting position. | Press the cable away from your chest, fully extending both arms. You core should be tight and engaged. | Hold the repetition for several seconds before returning to the starting position. | At the conclusion of the set, repeat facing the other direction."
Pallof Press With Rotation,abdominals,chest|shoulders|triceps,cable,compound,pull,core_flexion,2,strength,beginner,2,5,2.5,0,24,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,diastasis_recti|disc_herniation|lower_back_injury,"Connect a standard handle to a tower, and position the cable to shoulder height. | With your side to the cable, grab the handle with one hand and step away from the tower. You should be approximately arm's length away from the pulley, with the tension of the weight on the cable. Align outstretched arm with cable. | With your feet positioned hip-width apart, pull the cable into your chest and grab the handle with your other hand. Both hands should be on the handle at this time. | Facing forward, press the cable away from your chest. You core should be tight and engaged. | Keeping your hips straight, twist your torso away from the pulley until you get a full quarter rotation. | Maintain your rigid stance and straight arms. Return to the neutral position in a slow and controlled manner. Your arms should be extended in front of you. | With the side tension still engaging your core, bring your hands to your chest and immediately press outward to a fully extended position. This constitutes one rep. | Repeat to failure. | Then, reposition and repeat the same series of movements on the opposite side."
Palms-Down Dumbbell Wrist Curl Over A Bench,forearms,,dumbbell,isolation,pull,elbow_flexion,2,strength,beginner,2,6,3.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,bicep_tendinitis|elbow_tendinitis|golfers_elbow,Start out by placing two dumbbells on one side of a flat bench. | Kneel down on both of your knees so that your body is facing the flat bench. | Use your arms to grab both of the dumbbells with a pronated grip (palms facing down) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge. | Start out by curling your wrist upwards and exhaling. | Slowly lower your wrists back down to the starting position while inhaling. | Your forearms should be stationary as your wrist is the only movement needed to perform this exercise. | Repeat for the recommended amount of repetitions.
Palms-Down Wrist Curl Over A Bench,forearms,,barbell,isolation,pull,elbow_flexion,2,strength,beginner,3,6,2.0,1,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,bicep_tendinitis|elbow_tendinitis|golfers_elbow,Start out by placing a barbell on one side of a flat bench. | Kneel down on both of your knees so that your body is facing the flat bench. | Use your arms to grab the barbell with a pronated grip (palms down) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge. | Start out by curling your wrist upwards and exhaling. | Slowly lower your wrists back down to the starting position while inhaling. | Your forearms should be stationary as your wrist is the only movement needed to perform this exercise. | Repeat for the recommended amount of repetitions.
Palms-Up Barbell Wrist Curl Over A Bench,forearms,,barbell,isolation,pull,elbow_flexion,2,strength,beginner,3,6,2.0,1,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,bicep_tendinitis|elbow_tendinitis|golfers_elbow,Start out by placing a barbell on one side of a flat bench. | Kneel down on both of your knees so that your body is facing the flat bench. | Use your arms to grab the barbell with a supinated grip (palms up) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge. | Start out by curling your wrist upwards and exhaling. | Slowly lower your wrists back down to the starting position while inhaling. | Your forearms should be stationary as your wrist is the only movement needed to perform this exercise. | Repeat for the recommended amount of repetitions.
Palms-Up Dumbbell Wrist Curl Over A Bench,forearms,,dumbbell,isolation,pull,elbow_flexion,2,strength,beginner,2,6,3.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,bicep_tendinitis|elbow_tendinitis|golfers_elbow,Start out by placing two dumbbells on one side of a flat bench. | Kneel down on both of your knees so that your body is facing the flat bench. | Use your arms to grab both of the dumbbells with a supinated grip (palms up) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge. | Start out by curling your wrist upwards and exhaling. | Slowly lower your wrists back down to the starting position while inhaling. Make sure to inhale during this part of the exercise. | Your forearms should be stationary as your wrist is the only movement needed to perform this exercise. | Repeat for the recommended amount of repetitions.
Parallel Bar Dip,triceps,chest|shoulders,other,compound,push,horizontal_push,2,strength,beginner,6,8,1.33,2,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,pec_tear|rotator_cuff_tear|shoulder_impingement,"Stand between a set of parallel bars. Place a hand on each bar, and then take a small jump to help you get into the starting position with your arms locked out. | Begin by flexing the elbow, lowering your body until your arms break 90 degrees. Avoid swinging, and maintain good posture throughout the descent. | Reverse the motion by extending the elbow, pushing yourself back up into the starting position. | Repeat for the desired number of repetitions."
Pause Deadlift – Barbell,glutes|hamstrings|lower back,calves|forearms|traps|quadriceps,barbell,compound,,hip_hinge,3,strength,intermediate,10,10,1.0,10,72,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,disc_herniation|lower_back_injury|sciatica,"Stand with your feet hip-width apart and your toes pointing forward. | Bend at the hips and knees to lower your body down, keeping your back straight and your chest lifted. | Grasp the barbell with an overhand grip, hands slightly wider than shoulder-width apart. | Engage your core and lift the barbell off the ground, driving through your heels and keeping your back straight. | Almost immediately during your lift, pause for a brief moment when the barbell is in front of your lower shins, maintaining tension in your muscles. | Continue the lift until you're standing straight. | Lower the barbell back down to the ground, maintaining control and keeping your back straight. | Repeat for the desired number of repetitions."
