name,targetMuscles,bodyParts,equipments,secondaryMuscles,instructions,movement_pattern,difficulty_level,exercise_type,recommended_rep_min,recommended_rep_max,rest_seconds,unilateral,metabolic_load_score
bodyweight drop jump squat,glutes,upper legs,body weight,quadriceps|hamstrings|calves,"Step:1 Stand with your feet shoulder-width apart. Step:2 Lower your body into a squat position by bending your knees and pushing your hips back. Step:3 Jump up explosively, extending your hips, knees, and ankles. Step:4 While in mid-air, quickly bring your feet together. Step:5 Land softly on the balls of your feet and immediately drop back into a squat position. Step:6 Repeat for the desired number of repetitions.",squat,intermediate,compound,6,11,94,False,5
hanging leg hip raise,abs,waist,body weight,hip flexors|lower back,"Step:1 Hang from a pull-up bar with your arms fully extended and your palms facing away from you. Step:2 Engage your core and lift your legs up by flexing your hips and knees until your thighs are parallel to the ground. Step:3 Pause for a moment at the top, then slowly lower your legs back down to the starting position. Step:4 Repeat for the desired number of repetitions.",general,intermediate,isolation,12,14,68,False,3
dumbbell incline y-raise,upper back,back,dumbbell,shoulders|rear deltoids,"Step:1 Set an incline bench to a 45-degree angle and sit on it with a dumbbell in each hand, palms facing inwards. Step:2 Lean forward slightly and let your arms hang straight down, keeping a slight bend in your elbows. Step:3 Raise your arms out to the sides and up in a Y shape until they are parallel to the ground. Step:4 Pause for a moment at the top, then slowly lower your arms back down to the starting position. Step:5 Repeat for the desired number of repetitions.",general,intermediate,isolation,11,12,64,False,7
dumbbell lunge,glutes,upper legs,dumbbell,quadriceps|hamstrings|calves,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand. Step:2 Take a step forward with your right foot, lowering your body into a lunge position. Step:3 Keep your back straight and your chest up as you lower your body. Step:4 Push through your right heel to return to the starting position. Step:5 Repeat with your left leg. Step:6 Alternate legs for the desired number of repetitions.",lunge,intermediate,compound,8,10,105,True,7
one leg donkey calf raise,calves,lower legs,body weight,hamstrings|glutes,"Step:1 Stand with your feet shoulder-width apart, toes pointing forward. Step:2 Place your hands on a stable surface for support, such as a wall or a bar. Step:3 Lift one leg off the ground, keeping your knee slightly bent. Step:4 Raise your heel as high as possible, using your calf muscles. Step:5 Pause for a moment at the top, then slowly lower your heel back down. Step:6 Repeat for the desired number of repetitions, then switch legs.",general,intermediate,isolation,10,14,60,False,6
barbell narrow stance squat,glutes,upper legs,barbell,quadriceps|hamstrings|calves,"Step:1 Stand with your feet shoulder-width apart and toes pointing slightly outward. Step:2 Hold the barbell across your upper back, resting it on your traps or rear delts. Step:3 Engage your core and keep your chest up as you slowly lower your body by bending your knees and pushing your hips back. Step:4 Continue lowering until your thighs are parallel to the ground or slightly below. Step:5 Pause for a moment, then push through your heels to return to the starting position. Step:6 Repeat for the desired number of repetitions.",squat,advanced,compound,6,12,96,False,7
dumbbell one arm hammer preacher curl,biceps,upper arms,dumbbell,forearms,"Step:1 Sit on a preacher bench with a dumbbell in one hand and your upper arm resting on the pad. Step:2 Hold the dumbbell with a neutral grip (palms facing your body). Step:3 Keeping your upper arm stationary, exhale and curl the dumbbell up towards your shoulder. Step:4 Pause for a moment at the top, squeezing your biceps. Step:5 Inhale and slowly lower the dumbbell back to the starting position. Step:6 Repeat for the desired number of repetitions, then switch arms.",isolation,intermediate,isolation,10,12,56,False,4
barbell decline wide-grip pullover,lats,back,barbell,triceps|chest,"Step:1 Lie on a decline bench with your head lower than your hips and your feet secured. Step:2 Hold a barbell with a wide grip and extend your arms straight above your chest. Step:3 Lower the barbell behind your head in a controlled manner, keeping your arms straight. Step:4 Pause for a moment, then raise the barbell back to the starting position. Step:5 Repeat for the desired number of repetitions.",vertical_pull,advanced,compound,6,10,110,False,6
shoulder tap,abs,waist,body weight,shoulders|triceps,"Step:1 Start in a high plank position with your hands directly under your shoulders and your body in a straight line. Step:2 Engage your core and lift your right hand off the ground, reaching across to tap your left shoulder. Step:3 Place your right hand back on the ground and repeat with your left hand tapping your right shoulder. Step:4 Continue alternating shoulder taps while keeping your hips and torso stable. Step:5 Repeat for the desired number of repetitions.",general,intermediate,compound,6,10,116,False,7
smith full squat,glutes,upper legs,smith machine,quadriceps|hamstrings|calves,"Step:1 Set up the smith machine with the barbell at shoulder height. Step:2 Stand with your feet shoulder-width apart, toes slightly turned out. Step:3 Step under the bar and position it across your upper back, resting on your traps. Step:4 Grip the bar with your hands slightly wider than shoulder-width apart. Step:5 Unrack the bar and take a step back, maintaining a stable stance. Step:6 Keeping your chest up and core engaged, initiate the squat by pushing your hips back and bending your knees. Step:7 Lower your body until your thighs are parallel to the ground, or as low as your flexibility allows. Step:8 Pause for a moment at the bottom, then drive through your heels to return to the starting position. Step:9 Repeat for the desired number of repetitions.",squat,beginner,compound,8,12,95,False,6
self assisted inverse leg curl,hamstrings,upper legs,body weight,glutes|calves,"Step:1 Lie face down on a leg curl machine with your legs extended and your ankles hooked under the padded lever. Step:2 Place your hands on the side handles of the machine for support. Step:3 Keeping your upper body stationary, exhale and curl your legs upward as far as possible. Step:4 Hold the contracted position for a brief pause as you squeeze your hamstrings. Step:5 Slowly lower your legs back to the starting position while inhaling. Step:6 Repeat for the desired number of repetitions.",isolation,intermediate,isolation,12,13,70,False,7
exercise ball hug,spine,back,stability ball,shoulders|chest,"Step:1 Sit on the stability ball with your feet flat on the ground and your back straight. Step:2 Hold the stability ball with both hands, hugging it close to your chest. Step:3 Engage your core muscles and slowly lean back, keeping your back straight and your feet planted on the ground. Step:4 Continue leaning back until you feel a stretch in your back muscles. Step:5 Hold the position for a few seconds, then slowly return to the starting position. Step:6 Repeat for the desired number of repetitions.",general,intermediate,compound,7,12,97,False,5
monster walk,glutes,upper legs,body weight,hamstrings|quadriceps,"Step:1 Place a resistance band around your ankles. Step:2 Stand with your feet shoulder-width apart and slightly bend your knees. Step:3 Take a step to the side with your right foot, maintaining tension on the resistance band. Step:4 Follow with your left foot, stepping to the side to return to the starting position. Step:5 Repeat for the desired number of repetitions, then switch sides.",general,intermediate,compound,6,11,110,False,6
bodyweight standing calf raise,calves,lower legs,body weight,ankles|feet,"Step:1 Stand with your feet shoulder-width apart, toes pointing forward. Step:2 Place your hands on a wall or stable surface for balance. Step:3 Slowly raise your heels off the ground, lifting your body weight onto the balls of your feet. Step:4 Pause for a moment at the top, then slowly lower your heels back down to the starting position. Step:5 Repeat for the desired number of repetitions.",general,intermediate,isolation,12,15,54,False,3
lever bent-over row with v-bar,upper back,back,leverage machine,biceps|forearms,"Step:1 Adjust the seat height and position yourself facing the machine. Step:2 Grasp the v-bar with an overhand grip, keeping your back straight and your knees slightly bent. Step:3 Pull the v-bar towards your abdomen, squeezing your shoulder blades together. Step:4 Pause for a moment at the top of the movement, then slowly release the weight back to the starting position. Step:5 Repeat for the desired number of repetitions.",horizontal_pull,beginner,compound,6,12,120,False,6
smith decline reverse-grip press,pectorals,chest,smith machine,triceps|shoulders,"Step:1 Adjust the smith machine to a decline position. Step:2 Lie down on the bench with your feet secured under the foot pads. Step:3 Grasp the barbell with a reverse grip, hands slightly wider than shoulder-width apart. Step:4 Unrack the barbell and lower it towards your chest, keeping your elbows tucked in. Step:5 Pause for a moment at the bottom, then push the barbell back up to the starting position. Step:6 Repeat for the desired number of repetitions.",vertical_push,beginner,compound,7,11,113,False,4
negative crunch,abs,waist,body weight,hip flexors,"Step:1 Lie flat on your back with your knees bent and feet flat on the ground. Step:2 Place your hands behind your head with your elbows pointing outwards. Step:3 Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Step:4 Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Step:5 Repeat for the desired number of repetitions.",core_stability,intermediate,compound,6,11,108,False,7
pull up (neutral grip),lats,back,body weight,biceps|forearms,"Step:1 Hang from a pull-up bar with a neutral grip (palms facing each other) and your arms fully extended. Step:2 Engage your core and squeeze your shoulder blades together. Step:3 Pull your body up towards the bar by bending your elbows and driving your elbows down towards your hips. Step:4 Continue pulling until your chin is above the bar. Step:5 Pause for a moment at the top, then slowly lower your body back down to the starting position with control. Step:6 Repeat for the desired number of repetitions.",vertical_pull,intermediate,compound,8,10,99,False,3
dumbbell incline fly,pectorals,chest,dumbbell,shoulders,"Step:1 Set an incline bench to a 45-degree angle. Step:2 Sit on the bench with a dumbbell in each hand, palms facing each other. Step:3 Lie back on the bench and press the dumbbells up to the starting position, directly above your chest. Step:4 Lower the dumbbells out to the sides in a wide arc until you feel a stretch in your chest. Step:5 Pause for a moment, then squeeze your chest muscles to bring the dumbbells back up to the starting position. Step:6 Repeat for the desired number of repetitions.",general,intermediate,isolation,12,14,59,False,3
band straight leg deadlift,spine,back,band,hamstrings|glutes,"Step:1 Stand with your feet shoulder-width apart and place the band around your feet. Step:2 Hold the band with both hands, palms facing your body, and keep your arms straight. Step:3 Engage your core and maintain a slight bend in your knees. Step:4 Slowly hinge forward at your hips, keeping your back straight and chest lifted. Step:5 Lower the band towards the ground while keeping your legs straight. Step:6 Pause for a moment at the bottom, then squeeze your glutes and hamstrings to return to the starting position. Step:7 Repeat for the desired number of repetitions.",hinge,intermediate,compound,6,12,94,False,6
dumbbell seated bent over alternate kickback,triceps,upper arms,dumbbell,shoulders|back,"Step:1 Sit on a bench with a dumbbell in each hand, palms facing inwards. Step:2 Bend forward at the waist, keeping your back straight and parallel to the ground. Step:3 Extend one arm straight back, keeping it close to your body, until your arm is fully extended. Step:4 Pause for a moment, then slowly lower the dumbbell back to the starting position. Step:5 Repeat with the other arm. Step:6 Continue alternating arms for the desired number of repetitions.",general,intermediate,compound,8,10,99,False,5
smith back shrug,traps,back,smith machine,shoulders,"Step:1 Stand with your feet shoulder-width apart and your knees slightly bent. Step:2 Grasp the barbell with an overhand grip, hands slightly wider than shoulder-width apart. Step:3 Keep your arms straight and allow the barbell to hang in front of your thighs. Step:4 Lift your shoulders straight up towards your ears, squeezing your traps at the top. Step:5 Hold for a moment, then lower your shoulders back down to the starting position. Step:6 Repeat for the desired number of repetitions.",general,beginner,compound,7,12,100,False,7
dumbbell one arm chest fly on exercise ball,pectorals,chest,dumbbell,shoulders|triceps,"Step:1 Sit on an exercise ball with a dumbbell in one hand and your feet flat on the ground. Step:2 Walk your feet forward, rolling the ball until your upper back is supported on the ball and your head, neck, and shoulders are off the ball. Step:3 Extend your arm with the dumbbell straight up above your chest, palm facing inward. Step:4 Slowly lower the dumbbell out to the side, keeping a slight bend in your elbow. Step:5 Pause for a moment when your arm is parallel to the ground. Step:6 Engage your chest muscles to bring the dumbbell back up to the starting position. Step:7 Repeat for the desired number of repetitions, then switch arms.",general,intermediate,isolation,12,14,74,False,4
cable one arm bent over row,upper back,back,cable,biceps|forearms,"Step:1 Stand facing a cable machine with your feet shoulder-width apart. Step:2 Bend your knees slightly and hinge forward at the hips, keeping your back straight. Step:3 Grasp the cable handle with one hand, palm facing inward, and extend your arm fully. Step:4 Pull the cable handle towards your body, keeping your elbow close to your side, until your hand reaches your lower chest. Step:5 Pause for a moment, then slowly extend your arm back to the starting position. Step:6 Repeat for the desired number of repetitions, then switch sides.",horizontal_pull,intermediate,compound,6,11,97,False,3
hyght dumbbell fly,pectorals,chest,dumbbell,shoulders,"Step:1 Lie flat on a bench with a dumbbell in each hand, palms facing each other. Step:2 Extend your arms straight up over your chest, with a slight bend in your elbows. Step:3 Keeping a slight bend in your elbows, lower the dumbbells out to the sides in a wide arc until you feel a stretch in your chest. Step:4 Pause for a moment, then reverse the movement and bring the dumbbells back to the starting position. Step:5 Repeat for the desired number of repetitions.",general,intermediate,isolation,11,12,71,False,4
band kneeling one arm pulldown,lats,back,band,biceps|rhomboids,"Step:1 Attach the band to a sturdy anchor point above your head. Step:2 Kneel down and hold the band with one hand, palm facing down. Step:3 Extend your arm fully overhead, keeping your elbow slightly bent. Step:4 Engage your lat muscles and pull the band down towards your side, bringing your elbow towards your ribcage. Step:5 Pause for a moment at the bottom, then slowly release the tension and return to the starting position. Step:6 Repeat for the desired number of repetitions, then switch sides.",vertical_pull,intermediate,compound,8,12,103,False,5
dumbbell standing one arm palm in press,delts,shoulders,dumbbell,triceps|core,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in one hand at shoulder height with your palm facing inwards. Step:2 Engage your core and keep your back straight. Step:3 Press the dumbbell upwards until your arm is fully extended. Step:4 Pause for a moment at the top, then slowly lower the dumbbell back to the starting position. Step:5 Repeat for the desired number of repetitions, then switch to the other arm.",vertical_push,intermediate,compound,8,10,103,False,7
3/4 sit-up,abs,waist,body weight,hip flexors|lower back,"Step:1 Lie flat on your back with your knees bent and feet flat on the ground. Step:2 Place your hands behind your head with your elbows pointing outwards. Step:3 Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Step:4 Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Step:5 Repeat for the desired number of repetitions.",general,intermediate,compound,8,11,117,False,4
barbell one arm snatch,delts,shoulders,barbell,traps|forearms|core,"Step:1 Stand with your feet shoulder-width apart, toes pointing slightly outwards. Step:2 Hold the barbell with an overhand grip, hands slightly wider than shoulder-width apart. Step:3 Bend your knees and lower your hips into a squat position, keeping your back straight and chest up. Step:4 Explosively extend your hips, knees, and ankles, driving the barbell upwards. Step:5 As the barbell reaches chest level, pull it upwards with your arm, keeping it close to your body. Step:6 Rotate your elbow under the barbell and extend your arm fully overhead, locking out your elbow. Step:7 Lower the barbell back down to the starting position in a controlled manner. Step:8 Repeat for the desired number of repetitions, then switch arms.",general,advanced,compound,6,10,104,False,4
inverted row with straps,upper back,back,body weight,biceps|forearms,"Step:1 Set up a suspension trainer or straps at chest height. Step:2 Stand facing the anchor point and grab the handles with an overhand grip. Step:3 Walk your feet forward, leaning back until your body is at an angle. Step:4 Keep your body straight and engage your core. Step:5 Pull your chest towards the handles, squeezing your shoulder blades together. Step:6 Pause for a moment at the top, then slowly lower yourself back to the starting position. Step:7 Repeat for the desired number of repetitions.",horizontal_pull,intermediate,compound,7,12,108,False,4
dumbbell standing calf raise,calves,lower legs,dumbbell,ankles,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand. Step:2 Raise your heels off the ground as high as possible, using your calves. Step:3 Pause for a moment at the top, then slowly lower your heels back down to the starting position. Step:4 Repeat for the desired number of repetitions.",general,intermediate,isolation,11,12,50,False,5
smith standing leg calf raise,calves,lower legs,smith machine,hamstrings|glutes,"Step:1 Adjust the smith machine bar to a height that allows you to stand with your feet flat on the ground and your shoulders under the bar. Step:2 Position yourself under the bar with your feet shoulder-width apart and your toes pointing forward. Step:3 Place your hands on the bar for stability. Step:4 Engage your calves and slowly raise your heels off the ground, lifting your body up onto your toes. Step:5 Pause for a moment at the top, then slowly lower your heels back down to the starting position. Step:6 Repeat for the desired number of repetitions.",general,beginner,isolation,12,12,57,False,4
flexion leg sit up (straight arm),abs,waist,body weight,hip flexors|quadriceps,"Step:1 Lie flat on your back with your legs extended and arms straight above your head. Step:2 Engaging your abs, lift your upper body off the ground while simultaneously lifting your legs towards your chest. Step:3 Reach your hands towards your toes as you lift your upper body and legs. Step:4 Pause for a moment at the top, then slowly lower your upper body and legs back down to the starting position. Step:5 Repeat for the desired number of repetitions.",general,intermediate,compound,7,11,105,False,7
circles knee stretch,calves,lower legs,body weight,hamstrings|quadriceps,"Step:1 Stand with your feet shoulder-width apart and your hands on your hips. Step:2 Bend your knees slightly and lift your heels off the ground, balancing on the balls of your feet. Step:3 Keeping your knees bent, rotate your knees in a circular motion, first clockwise and then counterclockwise. Step:4 Perform the movement for the desired number of repetitions.",general,intermediate,compound,7,12,94,False,7
weighted russian twist,abs,waist,weighted,obliques|lower back,"Step:1 Sit on the ground with your knees bent and your feet flat on the floor. Step:2 Hold a weight or medicine ball with both hands in front of your chest. Step:3 Lean back slightly, keeping your back straight and your core engaged. Step:4 Slowly twist your torso to the right, bringing the weight or medicine ball towards the floor on your right side. Step:5 Pause for a moment, then twist your torso to the left, bringing the weight or medicine ball towards the floor on your left side. Step:6 Continue alternating sides for the desired number of repetitions.",general,intermediate,compound,6,12,106,False,7
arm slingers hanging straight legs,abs,waist,body weight,shoulders|back,"Step:1 Hang from a pull-up bar with your arms fully extended and your legs straight down. Step:2 Engage your core and lift your legs up in front of you until they are parallel to the ground. Step:3 Hold for a moment at the top, then slowly lower your legs back down to the starting position. Step:4 Repeat for the desired number of repetitions.",general,intermediate,compound,6,10,102,False,3
roller hip stretch,glutes,upper legs,roller,hamstrings|quadriceps,"Step:1 Start by sitting on the ground with your legs extended in front of you. Step:2 Place the roller under your glutes, just above your knees. Step:3 Lean back and place your hands on the ground behind you for support. Step:4 Engage your glutes and slowly roll the roller forward, bending your knees and bringing them towards your chest. Step:5 Pause for a moment at the end of the movement, feeling a stretch in your glutes. Step:6 Slowly roll the roller back to the starting position, extending your legs. Step:7 Repeat for the desired number of repetitions.",general,intermediate,compound,6,10,107,False,3
smith machine reverse decline close grip bench press,pectorals,chest,smith machine,triceps|shoulders,"Step:1 Adjust the smith machine to a decline position. Step:2 Lie down on the bench with your feet secured under the foot pads. Step:3 Grasp the barbell with a close grip, slightly narrower than shoulder-width apart. Step:4 Unrack the barbell and lower it slowly towards your chest, keeping your elbows tucked in. Step:5 Pause for a moment at the bottom, then push the barbell back up to the starting position. Step:6 Repeat for the desired number of repetitions.",vertical_push,beginner,compound,8,10,118,False,7
star jump (male),cardiovascular system,cardio,body weight,quadriceps|hamstrings|calves,"Step:1 Stand with your feet shoulder-width apart and your arms by your sides. Step:2 Bend your knees slightly and jump up explosively. Step:3 As you jump, spread your legs and extend your arms out to the sides, forming a star shape with your body. Step:4 Land softly on the balls of your feet with your knees slightly bent. Step:5 Repeat for the desired number of repetitions.",plyometric,intermediate,compound,8,11,92,False,5
one leg floor calf raise,calves,lower legs,body weight,ankles|feet,"Step:1 Stand with your feet hip-width apart and place your hands on a wall or sturdy object for balance. Step:2 Lift one foot off the ground and balance on the other foot. Step:3 Slowly raise your heel off the ground, lifting your body up onto the ball of your foot. Step:4 Pause for a moment at the top, then slowly lower your heel back down to the starting position. Step:5 Repeat for the desired number of repetitions, then switch legs and repeat.",general,intermediate,isolation,12,13,46,False,6
walking high knees lunge,cardiovascular system,cardio,body weight,quadriceps|hamstrings|glutes|calves,"Step:1 Stand with your feet hip-width apart. Step:2 Lift your right knee up towards your chest as high as you can while balancing on your left leg. Step:3 Step forward with your right foot and lower your body into a lunge position, bending both knees to a 90-degree angle. Step:4 Push off with your right foot and bring your left knee up towards your chest. Step:5 Step forward with your left foot and lower your body into a lunge position. Step:6 Continue alternating legs and lunging forward, keeping your core engaged and maintaining a steady pace. Step:7 Repeat for the desired number of repetitions.",lunge,intermediate,compound,8,12,114,True,5
elbow lift - reverse push-up,upper back,back,body weight,triceps|shoulders,"Step:1 Start by lying face down on the ground with your legs extended and your hands placed directly under your shoulders. Step:2 Engage your core and press through your palms to lift your upper body off the ground, keeping your elbows close to your sides. Step:3 Pause at the top for a moment, squeezing your upper back muscles. Step:4 Slowly lower your body back down to the starting position. Step:5 Repeat for the desired number of repetitions.",general,intermediate,compound,8,11,103,False,4
weighted one hand pull up,lats,back,weighted,biceps|forearms,"Step:1 Grab the pull-up bar with an overhand grip, slightly wider than shoulder-width apart. Step:2 Hang from the bar with your arm fully extended and your body straight. Step:3 Engage your core and pull your body up towards the bar by bending your elbow and squeezing your back muscles. Step:4 Continue pulling until your chin is above the bar. Step:5 Lower your body back down to the starting position with control. Step:6 Repeat for the desired number of repetitions.",vertical_pull,intermediate,compound,6,10,92,False,6
barbell curl,biceps,upper arms,barbell,forearms,"Step:1 Stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing forward. Step:2 Keep your elbows close to your torso and exhale as you curl the weights while contracting your biceps. Step:3 Continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level. Step:4 Hold the contracted position for a brief pause as you squeeze your biceps. Step:5 Inhale as you slowly begin to lower the bar back to the starting position. Step:6 Repeat for the desired number of repetitions.",isolation,advanced,isolation,12,12,54,False,7
dumbbell one arm reverse fly (with support),delts,shoulders,dumbbell,trapezius|rhomboids,"Step:1 Sit on a bench with your feet flat on the ground and your back straight. Step:2 Hold a dumbbell in one hand with your palm facing inwards. Step:3 Lean forward and place your free hand on the bench for support. Step:4 Keep your arm slightly bent and raise it out to the side until it is parallel to the ground. Step:5 Pause for a moment at the top, then slowly lower your arm back down to the starting position. Step:6 Repeat for the desired number of repetitions, then switch arms.",general,intermediate,isolation,12,13,49,False,7
dumbbell bicep curl on exercise ball with leg raised,biceps,upper arms,dumbbell,forearms|shoulders,"Step:1 Sit on an exercise ball with your feet flat on the ground and your back straight. Step:2 Hold a dumbbell in each hand with your palms facing forward and your arms fully extended. Step:3 Slowly curl the dumbbells towards your shoulders, keeping your elbows close to your sides. Step:4 Pause for a moment at the top of the movement, then slowly lower the dumbbells back to the starting position. Step:5 While performing the bicep curl, raise one leg off the ground and hold it in the air for the duration of the exercise. Step:6 Repeat for the desired number of repetitions, then switch legs and repeat.",isolation,intermediate,isolation,11,15,75,False,4
exercise ball hip flexor stretch,glutes,upper legs,stability ball,quadriceps|hamstrings,"Step:1 Place the stability ball on the ground and kneel in front of it. Step:2 Place your right foot on top of the stability ball, with your knee bent at a 90-degree angle. Step:3 Extend your left leg behind you, keeping it straight. Step:4 Lean forward, pushing your hips towards the stability ball, until you feel a stretch in your right hip flexor. Step:5 Hold the stretch for 20-30 seconds, then switch sides and repeat.",general,intermediate,compound,7,10,115,False,4
lever lying two-one leg curl,hamstrings,upper legs,leverage machine,glutes,"Step:1 Adjust the machine to fit your body and sit on it with your back against the backrest. Step:2 Place your legs on the lever pad, just above your ankles. Step:3 Grasp the handles on the sides of the machine for support. Step:4 Keeping your upper body still, exhale and curl your legs up towards your glutes. Step:5 Pause for a moment at the top, then inhale and slowly lower your legs back to the starting position. Step:6 Repeat for the desired number of repetitions.",isolation,beginner,isolation,11,12,56,False,5
cable standing back wrist curl,forearms,lower arms,cable,biceps|brachialis,"Step:1 Stand facing a cable machine with your feet shoulder-width apart. Step:2 Hold the cable handle with an overhand grip, palms facing down. Step:3 Keep your arms straight and your elbows close to your sides. Step:4 Slowly curl your wrists upward, bringing the cable handle towards your body. Step:5 Pause for a moment at the top, then slowly lower the cable handle back to the starting position. Step:6 Repeat for the desired number of repetitions.",isolation,intermediate,isolation,11,15,60,False,5
lever seated dip,triceps,upper arms,leverage machine,chest|shoulders,"Step:1 Adjust the seat height so that your feet are flat on the ground and your knees are at a 90-degree angle. Step:2 Grasp the handles of the leverage machine with your palms facing down and your arms fully extended. Step:3 Slowly lower your body by bending your elbows until your upper arms are parallel to the ground. Step:4 Pause for a moment, then push yourself back up to the starting position by straightening your arms. Step:5 Repeat for the desired number of repetitions.",general,beginner,compound,6,10,92,False,6
standing calves,calves,lower legs,body weight,hamstrings|glutes,"Step:1 Stand with your feet shoulder-width apart, toes pointing forward. Step:2 Raise your heels off the ground as high as possible, standing on your toes. Step:3 Hold the position for a moment, then slowly lower your heels back down to the starting position. Step:4 Repeat for the desired number of repetitions.",general,intermediate,compound,8,10,110,False,5
dumbbell palms in incline bench press,triceps,upper arms,dumbbell,chest|shoulders,"Step:1 Set up an incline bench at a 45-degree angle. Step:2 Sit on the bench with your back against the backrest and feet flat on the ground. Step:3 Hold a dumbbell in each hand with an overhand grip, palms facing inwards. Step:4 Extend your arms straight up above your chest, keeping a slight bend in your elbows. Step:5 Lower the dumbbells slowly towards your shoulders, keeping your elbows close to your body. Step:6 Pause for a moment at the bottom, then press the dumbbells back up to the starting position. Step:7 Repeat for the desired number of repetitions.",vertical_push,intermediate,compound,7,10,100,False,7
barbell standing twist,abs,waist,barbell,obliques|lower back,"Step:1 Stand with your feet shoulder-width apart and hold a barbell in front of your chest with both hands, palms facing down. Step:2 Engage your core and keep your back straight throughout the exercise. Step:3 Slowly twist your torso to the right, pivoting on your feet and hips, while keeping your lower body stable. Step:4 Pause for a moment at the end of the twist, then slowly return to the starting position. Step:5 Repeat the twist to the left side. Step:6 Continue alternating twists for the desired number of repetitions.",general,advanced,compound,8,11,118,False,3
lever kneeling twist,abs,waist,leverage machine,obliques|lower back,"Step:1 Adjust the seat height and position yourself on the machine with your knees resting on the pads and your upper body facing forward. Step:2 Grasp the handles or the sides of the machine for stability. Step:3 Keeping your core engaged, twist your torso to one side as far as comfortably possible. Step:4 Pause for a moment, then slowly return to the starting position. Step:5 Repeat the twist to the opposite side. Step:6 Continue alternating sides for the desired number of repetitions.",general,beginner,compound,8,11,115,False,3
incline leg hip raise (leg straight),abs,waist,body weight,hip flexors,"Step:1 Lie on an incline bench with your back flat against the bench and your legs extended straight out in front of you. Step:2 Place your hands on the sides of the bench for support. Step:3 Engaging your abs, lift your legs off the bench, raising them as high as you can while keeping them straight. Step:4 Pause for a moment at the top, then slowly lower your legs back down to the starting position. Step:5 Repeat for the desired number of repetitions.",general,intermediate,isolation,11,15,74,False,3
dumbbell straight arm pullover,pectorals,chest,dumbbell,latissimus dorsi|triceps,"Step:1 Lie flat on a bench with your head at one end and your feet planted firmly on the ground. Step:2 Hold a dumbbell with both hands and extend your arms straight above your chest. Step:3 Keeping your arms straight, slowly lower the dumbbell behind your head in an arc-like motion. Step:4 Pause for a moment, then raise the dumbbell back to the starting position. Step:5 Repeat for the desired number of repetitions.",vertical_pull,intermediate,compound,7,10,119,False,7
dumbbell goblet squat,quads,upper legs,dumbbell,glutes|hamstrings|calves,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell vertically against your chest with both hands. Step:2 Keeping your chest up and core engaged, lower your body down into a squat position by pushing your hips back and bending your knees. Step:3 Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. Step:4 Pause for a moment at the bottom, then push through your heels to return to the starting position. Step:5 Repeat for the desired number of repetitions.",squat,intermediate,compound,8,12,92,False,7
barbell decline bench press,pectorals,chest,barbell,triceps|shoulders,"Step:1 Lie on a decline bench with your feet secured and your head lower than your hips. Step:2 Grasp the barbell with an overhand grip slightly wider than shoulder-width apart. Step:3 Unrack the barbell and lower it slowly towards your chest, keeping your elbows tucked in. Step:4 Pause for a moment at the bottom, then push the barbell back up to the starting position. Step:5 Repeat for the desired number of repetitions.",vertical_push,advanced,compound,8,11,108,False,5
lever assisted chin-up,lats,back,leverage machine,biceps|forearms,"Step:1 Adjust the leverage machine to your desired resistance level. Step:2 Stand on the foot platform and grip the handles with an overhand grip, slightly wider than shoulder-width apart. Step:3 Hang with your arms fully extended, keeping your body straight. Step:4 Engage your back muscles and pull your body up towards the handles, leading with your chest. Step:5 Continue pulling until your chin is above the handles. Step:6 Pause for a moment at the top, then slowly lower your body back down to the starting position. Step:7 Repeat for the desired number of repetitions.",general,beginner,compound,7,11,115,False,4
lever alternate leg press,quads,upper legs,leverage machine,hamstrings|glutes,"Step:1 Adjust the seat and foot platform of the leverage machine to your desired position. Step:2 Sit on the machine with your back against the backrest and your feet on the foot platform. Step:3 Place your hands on the handles or sides of the machine for stability. Step:4 Push one foot against the foot platform, extending your leg until it is almost fully straight. Step:5 Pause for a moment, then slowly bend your leg and return to the starting position. Step:6 Repeat with the other leg. Step:7 Continue alternating legs for the desired number of repetitions.",vertical_push,beginner,compound,8,11,100,False,3
chest tap push-up (male),pectorals,chest,body weight,triceps|shoulders,"Step:1 Start in a high plank position with your hands slightly wider than shoulder-width apart and your body in a straight line. Step:2 Lower your body towards the ground by bending your elbows, keeping them close to your sides. Step:3 As you lower yourself, tap your chest with your right hand. Step:4 Push yourself back up to the starting position. Step:5 Repeat the movement, this time tapping your chest with your left hand. Step:6 Continue alternating sides for the desired number of repetitions.",general,intermediate,compound,6,10,98,False,7
