exerciseId,name,exerciseType,bodyParts,equipments,targetMuscles,secondaryMuscles,instructions,imageUrl,videoUrl
Y1MsI1l,Resistance Band Leg Extension,STRENGTH,UPPER LEGS,RESISTANCE BAND,QUADS,HAMSTRINGS,"Step:1 Attach the resistance band to a sturdy anchor point and secure it around your ankle.|Step:2 Stand facing the anchor point with your feet shoulder-width apart.|Step:3 Keeping your core engaged and your upper body stable, extend your leg straight out in front of you.|Step:4 Pause for a moment at the top, then slowly return your leg to the starting position.|Step:5 Repeat for the desired number of repetitions, then switch legs.",https://static.exercisedb.dev/media/Y1MsI1l.gif,
xAySMB0,Balance Board,STRENGTH,UPPER LEGS,BODY WEIGHT,QUADS,CALVES|HAMSTRINGS|GLUTES,"Step:1 Place the balance board on a flat surface.|Step:2 Step onto the balance board with one foot, ensuring it is centered.|Step:3 Slowly shift your weight onto the foot on the balance board, keeping your core engaged.|Step:4 Maintain your balance and stability as you hold the position for a desired amount of time.|Step:5 Repeat the exercise with the other foot.",https://static.exercisedb.dev/media/xAySMB0.gif,
arsYEd3,Band One Arm Single Leg Split Squat,STRENGTH,UPPER LEGS,BAND,QUADS,GLUTES|HAMSTRINGS,"Step:1 Stand with your feet hip-width apart and place a resistance band around your ankles.|Step:2 Extend one leg forward and rest the top of your foot on a bench or step behind you.|Step:3 Hold onto a support with one hand for balance.|Step:4 Bend your standing leg and lower your body down into a squat position, keeping your knee in line with your toes.|Step:5 Push through your heel to return to the starting position.|Step:6 Repeat for the desired number of repetitions, then switch legs.",https://static.exercisedb.dev/media/arsYEd3.gif,
my33uHU,Lever Leg Extension,STRENGTH,UPPER LEGS,LEVERAGE MACHINE,QUADS,HAMSTRINGS,"Step:1 Adjust the seat height and backrest of the machine to fit your body.|Step:2 Sit on the machine with your back against the backrest and your feet on the footpad.|Step:3 Grasp the handles or sidebars for stability.|Step:4 Extend your legs forward by straightening your knees, lifting the weight.|Step:5 Pause for a moment at the top, then slowly lower the weight back to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/my33uHU.gif,
QChZi3x,Squat To Overhead Reach,STRENGTH,UPPER LEGS,BODY WEIGHT,QUADS,GLUTES|HAMSTRINGS|CORE,"Step:1 Stand with your feet shoulder-width apart and toes slightly turned out.|Step:2 Lower your body down into a squat position by bending your knees and pushing your hips back.|Step:3 As you come up from the squat, extend your arms overhead, reaching towards the ceiling.|Step:4 Return to the starting position by lowering your arms and bending your knees to squat down again.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/QChZi3x.gif,
xdYPUtE,Sissy Squat,STRENGTH,UPPER LEGS,BODY WEIGHT,QUADS,CALVES|GLUTES,"Step:1 Stand with your feet shoulder-width apart and your toes pointing slightly outward.|Step:2 Hold onto a stable object for balance if needed.|Step:3 Slowly lower your body by bending your knees and leaning back, keeping your torso upright.|Step:4 Continue lowering until your thighs are parallel to the ground or as far as you can comfortably go.|Step:5 Pause for a moment, then push through your heels to return to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/xdYPUtE.gif,
yn8yg1r,Dumbbell Goblet Squat,STRENGTH,UPPER LEGS,DUMBBELL,QUADS,GLUTES|HAMSTRINGS|CALVES,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell vertically against your chest with both hands.|Step:2 Keeping your chest up and core engaged, lower your body down into a squat position by pushing your hips back and bending your knees.|Step:3 Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go.|Step:4 Pause for a moment at the bottom, then push through your heels to return to the starting position.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/yn8yg1r.gif,
V07qpXy,Lever Alternate Leg Press,STRENGTH,UPPER LEGS,LEVERAGE MACHINE,QUADS,HAMSTRINGS|GLUTES,"Step:1 Adjust the seat and foot platform of the leverage machine to your desired position.|Step:2 Sit on the machine with your back against the backrest and your feet on the foot platform.|Step:3 Place your hands on the handles or sides of the machine for stability.|Step:4 Push one foot against the foot platform, extending your leg until it is almost fully straight.|Step:5 Pause for a moment, then slowly bend your leg and return to the starting position.|Step:6 Repeat with the other leg.|Step:7 Continue alternating legs for the desired number of repetitions.",https://static.exercisedb.dev/media/V07qpXy.gif,
gGNQmVt,Barbell Single Leg Split Squat,STRENGTH,UPPER LEGS,BARBELL,QUADS,GLUTES|HAMSTRINGS|CALVES,"Step:1 Stand with your feet shoulder-width apart, holding a barbell across your upper back.|Step:2 Take a large step forward with one leg, keeping your torso upright.|Step:3 Lower your body by bending your front knee and hip, while keeping your back leg straight.|Step:4 Continue lowering until your front thigh is parallel to the ground.|Step:5 Pause for a moment, then push through your front heel to return to the starting position.|Step:6 Repeat for the desired number of repetitions, then switch legs.",https://static.exercisedb.dev/media/gGNQmVt.gif,
qBcKorM,All Fours Squad Stretch,STRETCHING,UPPER LEGS,BODY WEIGHT,QUADS,HAMSTRINGS|GLUTES,"Step:1 Start on all fours with your hands directly under your shoulders and your knees directly under your hips.|Step:2 Extend one leg straight back, keeping your knee bent and your foot flexed.|Step:3 Slowly lower your hips towards the ground, feeling a stretch in your quads.|Step:4 Hold this position for 20-30 seconds.|Step:5 Switch legs and repeat the stretch on the other side.",https://static.exercisedb.dev/media/qBcKorM.gif,
qPEzJjA,Farmers Walk,CARDIO,UPPER LEGS,DUMBBELL,QUADS,CALVES|FOREARMS|CORE,"Step:1 Stand up straight with a dumbbell in each hand, palms facing your sides.|Step:2 Keep your back straight and your shoulders back.|Step:3 Take small, controlled steps forward, maintaining an upright posture.|Step:4 Continue walking for the desired distance or time.|Step:5 To finish, stop walking and carefully lower the dumbbells to your sides.",https://static.exercisedb.dev/media/qPEzJjA.gif,
QjE2DcA,Dumbbell Step-Up Split Squat,STRENGTH,UPPER LEGS,DUMBBELL,QUADS,GLUTES|HAMSTRINGS|CALVES,"Step:1 Stand in front of a bench or step with a dumbbell in each hand, palms facing your body.|Step:2 Place your right foot on the bench or step, ensuring your entire foot is in contact with the surface.|Step:3 Step up onto the bench or step with your right foot, pushing through your heel to lift your body up.|Step:4 As you step up, simultaneously lift your left knee towards your chest.|Step:5 Pause at the top of the movement, then slowly lower your left foot back to the ground while keeping your right foot on the bench or step.|Step:6 Repeat the movement with your left foot on the bench or step.|Step:7 Continue alternating between your right and left foot for the desired number of repetitions.",https://static.exercisedb.dev/media/QjE2DcA.gif,
6YUfHPL,Quads,STRENGTH,UPPER LEGS,BODY WEIGHT,QUADS,HAMSTRINGS|GLUTES,Step:1 Stand with your feet shoulder-width apart.|Step:2 Lower your body by bending your knees and pushing your hips back as if sitting on a chair.|Step:3 Keep your chest up and your back straight.|Step:4 Lower yourself until your thighs are parallel to the ground.|Step:5 Push through your heels to return to the starting position.|Step:6 Repeat for the desired number of repetitions.,https://static.exercisedb.dev/media/6YUfHPL.gif,
SaDOwk7,Backward Jump,PLYOMETRICS,UPPER LEGS,BODY WEIGHT,QUADS,HAMSTRINGS|GLUTES|CALVES,"Step:1 Stand with your feet shoulder-width apart.|Step:2 Bend your knees slightly and jump backwards, pushing off with both feet.|Step:3 Land softly on the balls of your feet, bending your knees to absorb the impact.|Step:4 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/SaDOwk7.gif,
Ul5OFSV,Resistance Band Leg Extension Declined,STRENGTH,UPPER LEGS,RESISTANCE BAND,QUADS,HAMSTRINGS,"Step:1 Attach the resistance band to a sturdy anchor point and secure it around your ankle.|Step:2 Stand facing the anchor point with your feet shoulder-width apart.|Step:3 Keeping your core engaged and your upper body stable, extend your leg straight out in front of you.|Step:4 Pause for a moment at the top, then slowly return your leg to the starting position. Focus on declined movement.|Step:5 Repeat for the desired number of repetitions, then switch legs.",https://static.exercisedb.dev/media/Ul5OFSV.gif,
IBj3nsn,Quick Feet V. 2 With Bent,STRENGTH,UPPER LEGS,BODY WEIGHT,QUADS,CALVES|HAMSTRINGS,"Step:1 Stand with your feet shoulder-width apart and your arms by your sides.|Step:2 Begin by rapidly moving your feet up and down, as if you were running in place.|Step:3 Keep your movements quick and light, focusing on staying on the balls of your feet.|Step:4 Continue for the desired duration or number of repetitions. Emphasize bent control.",https://static.exercisedb.dev/media/IBj3nsn.gif,
DoEYq4s,Sissy Squat Isolation,STRENGTH,UPPER LEGS,BODY WEIGHT,QUADS,CALVES|GLUTES,"Step:1 Stand with your feet shoulder-width apart and your toes pointing slightly outward.|Step:2 Hold onto a stable object for balance if needed.|Step:3 Slowly lower your body by bending your knees and leaning back, keeping your torso upright.|Step:4 Continue lowering until your thighs are parallel to the ground or as far as you can comfortably go.|Step:5 Pause for a moment, then push through your heels to return to the starting position.|Step:6 Repeat for the desired number of repetitions. Emphasize isolation control.",https://static.exercisedb.dev/media/DoEYq4s.gif,
fF6GKVh,Chair Leg Extended Stretch With Modified,STRETCHING,UPPER LEGS,BODY WEIGHT,QUADS,HAMSTRINGS|CALVES,"Step:1 Sit on the edge of a chair with your back straight and feet flat on the ground.|Step:2 Extend one leg straight out in front of you, keeping your heel on the ground.|Step:3 Lean forward slightly, feeling a stretch in your quadriceps.|Step:4 Hold this position for 20-30 seconds. Focus on modified movement.|Step:5 Switch legs and repeat the stretch.",https://static.exercisedb.dev/media/fF6GKVh.gif,
LzX8YEz,All Fours Squad Stretch - Elevated Variation,STRETCHING,UPPER LEGS,BODY WEIGHT,QUADS,HAMSTRINGS|GLUTES,"Step:1 Start on all fours with your hands directly under your shoulders and your knees directly under your hips.|Step:2 Extend one leg straight back, keeping your knee bent and your foot flexed. Maintain elevated form throughout.|Step:3 Slowly lower your hips towards the ground, feeling a stretch in your quads.|Step:4 Hold this position for 20-30 seconds.|Step:5 Switch legs and repeat the stretch on the other side.",https://static.exercisedb.dev/media/LzX8YEz.gif,
7858za8,Fluid Dumbbell Step-Up Lunge,STRENGTH,UPPER LEGS,DUMBBELL,QUADS,GLUTES|HAMSTRINGS|CALVES,"Step:1 Stand in front of a step or platform with a dumbbell in each hand, palms facing your sides.|Step:2 Place your right foot on the step, ensuring your entire foot is on the surface.|Step:3 Push through your right heel and lift your body up onto the step, bringing your left foot up as well.|Step:4 (fluid variation) Once both feet are on the step, lower your left foot back down to the starting position, keeping your right foot on the step.|Step:5 Repeat the movement, alternating which foot you step up with each time.|Step:6 Continue for the desired number of repetitions.",https://static.exercisedb.dev/media/7858za8.gif,
MDFxU4b,Quads Complex,STRENGTH,UPPER LEGS,BODY WEIGHT,QUADS,HAMSTRINGS|GLUTES,Step:1 Stand with your feet shoulder-width apart.|Step:2 Lower your body by bending your knees and pushing your hips back as if sitting on a chair.|Step:3 Keep your chest up and your back straight.|Step:4 Lower yourself until your thighs are parallel to the ground.|Step:5 Push through your heels to return to the starting position. Emphasize complex control.|Step:6 Repeat for the desired number of repetitions.,https://static.exercisedb.dev/media/MDFxU4b.gif,
echClj7,Barbell Squat (On Knees) With Pure,STRENGTH,UPPER LEGS,BARBELL,QUADS,GLUTES|HAMSTRINGS|CALVES,"Step:1 Start by kneeling on the ground with your knees hip-width apart and your toes pointing forward.|Step:2 Place a barbell across your shoulders, gripping it with an overhand grip and your hands slightly wider than shoulder-width apart.|Step:3 Engage your core and keep your chest lifted as you slowly lower your body down by bending your knees, keeping your back straight. Perform with pure intensity.|Step:4 Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go.|Step:5 Pause for a moment at the bottom, then push through your heels to return to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/echClj7.gif,
27NNGFr,Cable Incline Fly (On Stability Ball),STRENGTH,CHEST,CABLE,PECTORALS,DELTOIDS|TRICEPS,"Step:1 Set up a stability ball at an incline angle.|Step:2 Attach the cable handles to the high pulleys of a cable machine.|Step:3 Sit on the stability ball facing away from the machine, with your feet firmly planted on the ground.|Step:4 Grasp the cable handles with an overhand grip, palms facing forward.|Step:5 Lean forward slightly, keeping your back straight and core engaged.|Step:6 With a controlled motion, bring your arms out to the sides, keeping a slight bend in your elbows.|Step:7 Continue the motion until your arms are parallel to the ground.|Step:8 Pause for a moment, then slowly return to the starting position.|Step:9 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/27NNGFr.gif,
DOoWcnA,Lever Chest Press,STRENGTH,CHEST,LEVERAGE MACHINE,PECTORALS,TRICEPS|SHOULDERS,"Step:1 Adjust the seat height and position yourself on the machine with your back flat against the pad.|Step:2 Grasp the handles with an overhand grip and position your elbows at a 90-degree angle.|Step:3 Push the handles forward until your arms are fully extended, exhaling during the movement.|Step:4 Pause briefly at the end of the movement, then slowly return to the starting position, inhaling as you do so.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/DOoWcnA.gif,
UKWTJWR,Cable Standing Up Straight Crossovers,STRENGTH,CHEST,CABLE,PECTORALS,DELTOIDS|TRICEPS,"Step:1 Stand in the middle of a cable machine with your feet shoulder-width apart.|Step:2 Hold the handles of the cables with your palms facing down and your arms extended straight out to the sides.|Step:3 Keeping your arms straight, bring your hands together in front of your body, crossing them over each other.|Step:4 Pause for a moment, then slowly return to the starting position, keeping your arms extended.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/UKWTJWR.gif,
PnZJIrk,Assisted Wide-Grip Chest Dip (Kneeling),STRENGTH,CHEST,LEVERAGE MACHINE,PECTORALS,TRICEPS|SHOULDERS,Step:1 Adjust the machine to your desired height and secure your knees on the pad.|Step:2 Grasp the handles with a wide grip and keep your elbows slightly bent.|Step:3 Lower your body by bending your elbows until your upper arms are parallel to the floor.|Step:4 Push yourself back up to the starting position by extending your arms.|Step:5 Repeat for the desired number of repetitions.,https://static.exercisedb.dev/media/PnZJIrk.gif,
LQFOrMn,Chest Dip On Straight Bar,STRENGTH,CHEST,BODY WEIGHT,PECTORALS,TRICEPS|SHOULDERS,Step:1 Grab the parallel bars with your palms facing down and your arms fully extended.|Step:2 Bend your knees and cross your ankles.|Step:3 Lower your body by bending your arms until your shoulders are below your elbows.|Step:4 Push yourself back up to the starting position by straightening your arms.|Step:5 Repeat for the desired number of repetitions.,https://static.exercisedb.dev/media/LQFOrMn.gif,
33AzZeV,Barbell Front Raise And Pullover,STRENGTH,CHEST,BARBELL,PECTORALS,DELTOIDS|TRICEPS,"Step:1 Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, palms facing down.|Step:2 Keep your arms straight and raise the barbell in front of you until it reaches shoulder height.|Step:3 Pause for a moment at the top, then slowly lower the barbell back down to the starting position.|Step:4 Next, lower the barbell behind your head, keeping your arms straight.|Step:5 Pause for a moment at the bottom, then raise the barbell back up to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/33AzZeV.gif,
gw9PqGk,Full Planche Push-Up,STRENGTH,CHEST,BODY WEIGHT,PECTORALS,SHOULDERS|TRICEPS|CORE,"Step:1 Start in a push-up position with your hands placed slightly wider than shoulder-width apart.|Step:2 Engage your core and lower your body down towards the ground, keeping your elbows close to your sides.|Step:3 As you lower yourself, lean your body forward and lift your feet off the ground, balancing on your hands.|Step:4 Continue to lower your body until your chest is just above the ground.|Step:5 Push through your hands and extend your arms to lift your body back up to the starting position.|Step:6 Maintain a straight line from your head to your heels throughout the movement.|Step:7 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/gw9PqGk.gif,
IaGQCrC,Suspended Push-Up,STRENGTH,CHEST,BODY WEIGHT,PECTORALS,TRICEPS|SHOULDERS|CORE,"Step:1 Find a suspension trainer and adjust it to an appropriate height.|Step:2 Stand facing away from the anchor point and hold the handles with an overhand grip.|Step:3 Walk your feet forward, leaning your body forward until your weight is supported by the suspension trainer.|Step:4 Keep your body straight from head to heels, engage your core, and lower your chest towards the handles.|Step:5 Push through your chest and arms to return to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/IaGQCrC.gif,
REGM1dE,Dumbbell One Arm Decline Chest Press,STRENGTH,CHEST,DUMBBELL,PECTORALS,TRICEPS|SHOULDERS,"Step:1 Lie on a decline bench with a dumbbell in one hand, resting on your chest.|Step:2 Place your feet flat on the ground and keep your back pressed against the bench.|Step:3 Extend your arm and push the dumbbell up towards the ceiling, fully extending your elbow.|Step:4 Pause for a moment at the top, then slowly lower the dumbbell back down to the starting position.|Step:5 Repeat for the desired number of repetitions, then switch to the other arm.",https://static.exercisedb.dev/media/REGM1dE.gif,
xLYSdtg,Cable Middle Fly,STRENGTH,CHEST,CABLE,PECTORALS,DELTOIDS|TRICEPS,"Step:1 Attach cables to both sides of a cable machine at chest height.|Step:2 Stand in the center of the machine with one foot slightly in front of the other.|Step:3 Grasp the handles with an overhand grip and extend your arms out to the sides.|Step:4 Keep a slight bend in your elbows and maintain a slight forward lean.|Step:5 Engage your chest muscles and bring your arms forward in a sweeping motion.|Step:6 Pause for a moment at the center, then slowly return your arms back to the starting position.|Step:7 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/xLYSdtg.gif,
1PLE8e9,Dumbbell Incline Twisted Flyes,STRENGTH,CHEST,DUMBBELL,PECTORALS,SHOULDERS|TRICEPS,"Step:1 Set an incline bench to a 45-degree angle and sit on it with a dumbbell in each hand, palms facing each other.|Step:2 Lie back on the bench and press the dumbbells up to the starting position, directly above your chest, with your arms extended.|Step:3 Lower the dumbbells out to the sides in a wide arc until you feel a stretch in your chest.|Step:4 As you lower the dumbbells, rotate your wrists so that your palms face forward at the bottom of the movement.|Step:5 Reverse the motion and bring the dumbbells back up to the starting position, squeezing your chest muscles together at the top.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/1PLE8e9.gif,
CB8WET1,Incline Push Up Depth Jump,PLYOMETRICS,CHEST,BODY WEIGHT,PECTORALS,TRICEPS|SHOULDERS|CORE,"Step:1 Find an elevated surface, such as a bench or step, and place your hands shoulder-width apart on the edge.|Step:2 Step your feet back, keeping your body in a straight line from head to heels.|Step:3 Lower your chest towards the edge of the surface, bending your elbows and keeping your body aligned.|Step:4 Push through your palms to extend your arms and return to the starting position.|Step:5 Jump off the edge of the surface, landing softly with your knees slightly bent.|Step:6 Repeat the push-up and depth jump for the desired number of repetitions.",https://static.exercisedb.dev/media/CB8WET1.gif,
PAgTVaK,Assisted Chest Dip (Kneeling),STRENGTH,CHEST,LEVERAGE MACHINE,PECTORALS,TRICEPS|SHOULDERS,"Step:1 Adjust the machine to your desired height and secure your knees on the pad.|Step:2 Grasp the handles with your palms facing down and your arms fully extended.|Step:3 Lower your body by bending your elbows until your upper arms are parallel to the floor.|Step:4 Pause for a moment, then push yourself back up to the starting position.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/PAgTVaK.gif,
wDN97Ca,Machine Inner Chest Press,STRENGTH,CHEST,LEVERAGE MACHINE,PECTORALS,TRICEPS|SHOULDERS,"Step:1 Adjust the seat height and position yourself on the machine with your back flat against the pad.|Step:2 Grasp the handles with an overhand grip and position your elbows at a 90-degree angle.|Step:3 Push the handles forward until your arms are fully extended, exhaling during the movement.|Step:4 Pause for a moment at the end of the movement, then slowly return to the starting position, inhaling as you do so.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/wDN97Ca.gif,
wXvUZC8,Push And Pull Bodyweight,STRENGTH,CHEST,BODY WEIGHT,PECTORALS,TRICEPS|DELTOIDS,"Step:1 Start in a push-up position with your hands slightly wider than shoulder-width apart and your body in a straight line.|Step:2 Lower your chest towards the ground by bending your elbows, keeping your body straight.|Step:3 Push through your palms to extend your arms and return to the starting position.|Step:4 From the push-up position, pull your chest towards the ground by bending your elbows, keeping your body straight.|Step:5 Push through your palms to extend your arms and return to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/wXvUZC8.gif,
CjETvlw,Roller Seated Single Leg Shoulder Flexor Depresor Retractor,STRENGTH,CHEST,ROLLER,PECTORALS,DELTOIDS|TRICEPS,"Step:1 Sit on a flat surface with your legs extended in front of you.|Step:2 Hold the roller with both hands, palms facing down, and place it on your thighs.|Step:3 Lean back slightly and engage your core muscles.|Step:4 Raise the roller up to shoulder level, keeping your arms straight.|Step:5 Slowly lower the roller back down to your thighs.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/CjETvlw.gif,
9sgNE2O,Barbell Decline Pullover,STRENGTH,CHEST,BARBELL,PECTORALS,TRICEPS|SHOULDERS,"Step:1 Lie down on a decline bench with your head lower than your hips and your feet secured.|Step:2 Hold the barbell with a pronated grip (palms facing away from you) and your hands slightly wider than shoulder-width apart.|Step:3 Extend your arms above your chest, keeping a slight bend in your elbows.|Step:4 Lower the barbell in an arc motion behind your head, feeling a stretch in your chest and shoulders.|Step:5 Pause for a moment, then return the barbell to the starting position by reversing the motion.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/9sgNE2O.gif,
8coXSYU,Roller Seated Shoulder Flexor Depresor Retractor,STRENGTH,CHEST,ROLLER,PECTORALS,DELTOIDS|TRICEPS,"Step:1 Sit on a flat surface with your legs extended in front of you.|Step:2 Hold the roller with both hands, palms facing down, and place it on your thighs.|Step:3 Lean forward slightly and roll the roller away from your body, extending your arms straight in front of you.|Step:4 Pause for a moment, then slowly roll the roller back towards your body, bending your arms and bringing the roller back to your thighs.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/8coXSYU.gif,
sVvXT5J,Exercise Ball Pike Push Up,STRENGTH,CHEST,STABILITY BALL,PECTORALS,SHOULDERS|TRICEPS|CORE,"Step:1 Start in a push-up position with your hands on the floor and your shins resting on the stability ball.|Step:2 Engage your core and lift your hips up towards the ceiling, rolling the ball towards your hands.|Step:3 Keep your legs straight and your body in a pike position, forming an inverted V shape.|Step:4 Bend your elbows and lower your upper body towards the floor, keeping your head in line with your hands.|Step:5 Push through your hands and extend your arms to return to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/sVvXT5J.gif,
3TZduzM,Barbell Incline Bench Press,STRENGTH,CHEST,BARBELL,PECTORALS,SHOULDERS|TRICEPS,"Step:1 Set up an incline bench at a 45-degree angle.|Step:2 Lie down on the bench with your feet flat on the ground.|Step:3 Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.|Step:4 Unrack the barbell and lower it slowly towards your chest, keeping your elbows at a 45-degree angle.|Step:5 Pause for a moment at the bottom, then push the barbell back up to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/3TZduzM.gif,
O2K9Vb5,Wide-Grip Chest Dip On High Parallel Bars,STRENGTH,CHEST,BODY WEIGHT,PECTORALS,TRICEPS|SHOULDERS,"Step:1 Position yourself on the parallel bars with your arms fully extended and your body suspended in the air.|Step:2 Lean forward slightly and lower your body by bending your elbows until your chest is just above the bars.|Step:3 Pause for a moment, then push yourself back up to the starting position by straightening your arms.|Step:4 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/O2K9Vb5.gif,
reFHapa,Dumbbell Decline Twist Fly,STRENGTH,CHEST,DUMBBELL,PECTORALS,SHOULDERS|TRICEPS,"Step:1 Lie down on a decline bench with your head lower than your hips.|Step:2 Hold a dumbbell in each hand with your palms facing each other and your arms extended straight up over your chest.|Step:3 Lower the dumbbells out to the sides in a wide arc until you feel a stretch in your chest.|Step:4 As you lower the dumbbells, twist your wrists so that your palms face forward at the bottom of the movement.|Step:5 Reverse the motion and bring the dumbbells back up to the starting position, squeezing your chest muscles at the top.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/reFHapa.gif,
c16nYGA,Band One Arm Twisting Chest Press,STRENGTH,CHEST,BAND,PECTORALS,SHOULDERS|TRICEPS,"Step:1 Attach the band to a sturdy anchor point at chest height.|Step:2 Stand with your side facing the anchor point and grab the band with one hand.|Step:3 Step away from the anchor point to create tension in the band.|Step:4 Position your feet shoulder-width apart and slightly bend your knees.|Step:5 Bring your hand holding the band across your body, towards the opposite shoulder.|Step:6 While maintaining tension in the band, push your hand forward and away from your body, extending your arm.|Step:7 Slowly return to the starting position and repeat for the desired number of repetitions.|Step:8 Switch sides and repeat the exercise with the other hand.",https://static.exercisedb.dev/media/c16nYGA.gif,
PSlvNMs,Weighted Drop Push Up,STRENGTH,CHEST,WEIGHTED,PECTORALS,TRICEPS|SHOULDERS,"Step:1 Start in a high plank position with your hands slightly wider than shoulder-width apart and your feet together.|Step:2 Lower your chest towards the ground, keeping your elbows close to your body.|Step:3 Once your chest is just above the ground, explosively push yourself up, lifting your hands off the ground.|Step:4 As you push up, quickly move your hands out to the sides and slightly forward, allowing your body to drop down towards the ground.|Step:5 Catch yourself with your hands in the wider position and immediately lower your chest towards the ground again.|Step:6 Repeat the push-up motion, dropping down and catching yourself with your hands in the narrower position.|Step:7 Continue alternating between the wider and narrower hand positions for the desired number of repetitions.",https://static.exercisedb.dev/media/PSlvNMs.gif,
13TpY4H,Raise Single Arm Push-Up,STRENGTH,CHEST,BODY WEIGHT,PECTORALS,TRICEPS|SHOULDERS|CORE,"Step:1 Start in a push-up position with your hands slightly wider than shoulder-width apart and your feet together.|Step:2 Extend one arm straight out to the side, parallel to the ground.|Step:3 Lower your body towards the ground by bending your elbows, keeping your back straight and core engaged.|Step:4 Push back up to the starting position, using your chest muscles to lift your body.|Step:5 Repeat with the other arm extended.",https://static.exercisedb.dev/media/13TpY4H.gif,
NCmbLCw,Push-Up (Wall) V. 2,STRENGTH,CHEST,BODY WEIGHT,PECTORALS,TRICEPS|SHOULDERS,"Step:1 Stand facing a wall, about arm's length away.|Step:2 Place your hands on the wall at shoulder height, slightly wider than shoulder-width apart.|Step:3 Step back with your feet, keeping them hip-width apart.|Step:4 Engage your core and keep your body in a straight line from head to heels.|Step:5 Bend your elbows and lower your chest towards the wall, keeping your body straight.|Step:6 Pause for a moment, then push yourself back to the starting position.|Step:7 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/NCmbLCw.gif,
ZOuKWir,Kneeling Push-Up (Male),STRENGTH,CHEST,BODY WEIGHT,PECTORALS,TRICEPS|SHOULDERS,"Step:1 Start by kneeling on the ground with your hands shoulder-width apart, fingers pointing forward.|Step:2 Extend your legs behind you, resting on the balls of your feet, so that your body forms a straight line from head to heels.|Step:3 Engage your core and lower your body towards the ground by bending your elbows, keeping them close to your sides.|Step:4 Continue lowering until your chest is just above the ground, then push back up to the starting position by straightening your arms.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/ZOuKWir.gif,
HbSG1Pw,Isometric Chest Squeeze,STRENGTH,CHEST,BODY WEIGHT,PECTORALS,TRICEPS|SHOULDERS,"Step:1 Stand with your feet shoulder-width apart and your knees slightly bent.|Step:2 Extend your arms straight out in front of you, parallel to the ground, with your palms facing each other.|Step:3 Squeeze your chest muscles together as hard as you can, while keeping your arms straight.|Step:4 Hold this position for a few seconds, focusing on contracting your chest muscles.|Step:5 Release the squeeze and relax your chest muscles.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/HbSG1Pw.gif,
DU7I633,Barbell Reverse Grip Incline Bench Press,STRENGTH,CHEST,BARBELL,PECTORALS,TRICEPS|SHOULDERS,"Step:1 Set up an incline bench at a 45-degree angle.|Step:2 Lie down on the bench with your feet flat on the ground.|Step:3 Grasp the barbell with a reverse grip, hands slightly wider than shoulder-width apart.|Step:4 Unrack the barbell and lower it slowly towards your chest, keeping your elbows tucked in.|Step:5 Pause for a moment when the barbell touches your chest.|Step:6 Push the barbell back up to the starting position, fully extending your arms.|Step:7 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/DU7I633.gif,
