Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Dietary_Tags,Season,Cooking_Method,Portion_Size
Vegetable Curry with Avocado (Standard portion),Meal/Vegetable,342,10.8,41.2,13.8,6.8,9.1,673,0,Dinner,250,gluten-free,Spring,Roasted,Standard
Greek Yogurt High-Fiber (Standard portion),Dairy,79,11.3,4.2,1.6,0.5,1.3,191,78,Breakfast,400,"low-carb,gluten-free",All Year,Baked,Standard
Grilled Chicken Salad Italian Style (Standard portion),Meal/Protein,363,32.4,9.3,20.3,2.2,3.5,572,193,Lunch,400,"high-protein,low-carb,gluten-free",Summer,Raw,Standard
Almonds Italian Style (Standard portion),Nut,168,6,6.6,12.9,1.7,3.2,253,0,Snack,200,"low-carb,gluten-free",Fall,Raw,Standard
Apple with Avocado (Standard portion),Fruit,102,0.5,23.5,0.3,4.6,10.9,126,0,Snack,100,gluten-free,Winter,Roasted,Standard
Chicken Breast Mexican Style (Extra Large portion),Protein/Meat,271,52.4,0,6.6,0,0,57,43,Dinner,300,"high-protein,low-carb,gluten-free",All Year,Grilled,Extra Large
Quinoa Bowl Spicy (Standard portion),Meal/Grain,374,14.3,53.8,12.5,15.7,26,352,0,Lunch,250,gluten-free,Spring,Pan-fried,Standard
Stir Fry Tofu Light (Standard portion),Meal/Vegetarian,380,16.5,32.1,19.9,6.5,12.1,248,0,Dinner,500,"vegetarian,vegan,gluten-free",Winter,Baked,Standard
Avocado Toast Low-Carb (Small portion),Meal/Vegetarian,198,5.3,18.1,11.4,1.9,7,498,0,Breakfast,300,"vegetarian,gluten-free",All Year,Grilled,Small
Hummus Italian Style (Large portion),Legume,82,2.5,5.4,7.1,1.6,1.8,5,0,Snack,150,"low-carb,gluten-free",Spring,Baked,Large
Protein Shake Spicy (Large portion),Supplement,153,33.9,3.8,1.4,1.1,1.7,224,0,Breakfast,300,"high-protein,low-carb,gluten-free",All Year,Raw,Large
Grilled Chicken Salad (Extra Large portion),Meal/Protein,614,43.9,14.5,33.7,1.5,6.7,637,72,Lunch,500,"high-protein,gluten-free",Spring,Roasted,Extra Large
Greek Yogurt Light (Extra Large portion),Dairy,117,20,5.9,2.5,1.6,1.9,255,94,Breakfast,400,"low-carb,gluten-free",Spring,Roasted,Extra Large
Veggie Burger High-Fiber (Small portion),Protein/Vegetarian,92,8.3,6.3,2.9,1.2,1.6,265,0,Lunch,250,"low-carb,vegetarian,vegan",Summer,Boiled,Small
Oatmeal Asian Style (Small portion),Grain,58,2.3,9.1,1,1.7,2.9,243,0,Breakfast,400,"low-carb,gluten-free",Summer,Baked,Small
Quinoa Bowl with Vegetables (Small portion),Meal/Grain,305,10.8,37.6,8.7,7,13.6,500,0,Lunch,500,gluten-free,Summer,Steamed,Small
Veggie Burger Italian Style (Extra Large portion),Protein/Vegetarian,200,17.5,15,6.2,2.4,5,141,0,Lunch,500,"vegetarian,vegan,gluten-free",Spring,Pan-fried,Extra Large
Quinoa Bowl with Avocado (Small portion),Meal/Grain,305,11.5,34.7,8.3,4.9,16.9,523,0,Lunch,300,gluten-free,Winter,Roasted,Small
Turkey Sandwich (Large portion),Meal/Processed,440,29.1,41,14.9,9,12.3,1140,145,Lunch,400,"high-protein,gluten-free",Winter,Raw,Large
Protein Bar Mexican Style (Small portion),Supplement/Processed,135,12.7,14,5.4,2.2,6,1102,0,Snack,150,gluten-free,All Year,Pan-fried,Small
Spaghetti Bolognese Spicy (Standard portion),Meal/Pasta,486,19.3,55.6,19.5,15.4,13.6,432,0,Dinner,500,gluten-free,All Year,Roasted,Standard
Spaghetti Bolognese Low-Carb (Small portion),Meal/Pasta,319,14.6,39.7,13.7,11.1,18.2,230,0,Dinner,300,gluten-free,Spring,Baked,Small
Protein Shake Extra Protein (Large portion),Supplement,161,28.2,4.1,1.3,0.6,1.1,218,0,Breakfast,500,"high-protein,low-carb,gluten-free",Summer,Steamed,Large
Veggie Burger with Cheese (Large portion),Protein/Vegetarian,140,12.9,13.7,4.9,3.7,3.5,59,0,Lunch,300,"vegetarian,vegan,gluten-free",All Year,Baked,Large
Greek Yogurt Asian Style (Small portion),Dairy,56,9.3,2.7,1.1,0.4,0.5,294,63,Breakfast,400,"low-carb,gluten-free",Spring,Boiled,Small
Protein Shake Light (Large portion),Supplement,167,32.5,4.2,1.3,0.7,1.5,247,0,Breakfast,500,"high-protein,low-carb,gluten-free",Summer,Pan-fried,Large
Protein Shake with Avocado (Large portion),Supplement,150,32.7,3.6,1.4,0.6,1,84,0,Breakfast,250,"high-protein,low-carb,gluten-free",Summer,Boiled,Large
Grilled Chicken Salad Italian Style (Extra Large portion),Meal/Protein,584,43.8,16,29,3.6,4.4,518,95,Lunch,400,"high-protein,gluten-free",All Year,Raw,Extra Large
Stir Fry Tofu Extra Protein (Standard portion),Meal/Vegetarian,405,18.3,30,23.1,6.3,12.6,752,0,Dinner,350,"vegetarian,vegan,gluten-free",Summer,Baked,Standard
Avocado Toast (Small portion),Meal/Vegetarian,183,4.9,19,9.5,5.4,5.8,536,0,Breakfast,500,"vegetarian,gluten-free",Winter,Raw,Small
Scrambled Eggs with Cheese (Large portion),Protein/Dairy,123,8.2,1.3,10,0.4,0.4,25,96,Breakfast,350,"low-carb,gluten-free",All Year,Baked,Large
Beef Steak with Vegetables (Standard portion),Protein/Meat,295,40.8,0,9.3,0,0,269,129,Dinner,300,"high-protein,low-carb,gluten-free",Summer,Roasted,Standard
Tuna Salad with Avocado (Standard portion),Meal/Fish,205,17.5,1.9,12.3,0.5,0.6,403,22,Lunch,350,"low-carb,gluten-free",Spring,Baked,Standard
Vegetable Curry with Vegetables (Extra Large portion),Meal/Vegetable,509,16.7,61.1,23.7,9.6,22.1,232,0,Dinner,500,gluten-free,Spring,Steamed,Extra Large
Hummus Extra Protein (Large portion),Legume,82,2.8,5.2,6.1,0.9,1.3,112,0,Snack,200,"low-carb,gluten-free",Summer,Raw,Large
Apple with Avocado (Standard portion),Fruit,98,0.5,25.1,0.3,5.8,11.9,13,0,Snack,100,gluten-free,Fall,Roasted,Standard
Greek Yogurt Light (Extra Large portion),Dairy,116,21.1,6.3,2.5,1,1.8,174,137,Breakfast,300,"high-protein,low-carb,gluten-free",Fall,Baked,Extra Large
Spaghetti Bolognese Asian Style (Standard portion),Meal/Pasta,488,21,53.4,18.1,9,22.1,260,0,Dinner,350,"high-protein,gluten-free",Spring,Grilled,Standard
Banana (Small portion),Fruit,72,0.9,20.1,0.3,3.2,9.9,19,0,Breakfast,350,gluten-free,All Year,Steamed,Small
Scrambled Eggs Extra Protein (Large portion),Protein/Dairy,113,7.3,1.3,9.7,0.2,0.3,126,158,Breakfast,400,"low-carb,gluten-free",Fall,Raw,Large
Apple Light (Extra Large portion),Fruit,144,0.8,42.7,0.5,12.5,11.6,184,0,Snack,250,gluten-free,Spring,Steamed,Extra Large
Grilled Chicken Salad Italian Style (Small portion),Meal/Protein,231,19.7,7.6,12.8,1.1,2.7,740,164,Lunch,400,"low-carb,gluten-free",Summer,Grilled,Small
Avocado Toast Spicy (Standard portion),Meal/Vegetarian,255,6.4,28.8,16.5,5.5,9.6,392,0,Breakfast,500,"vegetarian,gluten-free",All Year,Raw,Standard
Apple (Large portion),Fruit,126,0.6,33.4,0.4,6,11.5,152,0,Snack,150,gluten-free,All Year,Grilled,Large
Spaghetti Bolognese Low-Carb (Extra Large portion),Meal/Pasta,781,30.9,80.8,28.6,8.5,36.7,379,0,Dinner,500,"high-protein,gluten-free",All Year,Raw,Extra Large
Turkey Sandwich Extra Protein (Extra Large portion),Meal/Processed,494,33.9,55.7,18.4,12.1,19.3,700,197,Lunch,300,"high-protein,gluten-free",All Year,Raw,Extra Large
Whole Wheat Toast Spicy (Small portion),Grain,57,2.7,9.8,0.7,1.5,2.5,135,0,Breakfast,350,"low-carb,gluten-free",Summer,Pan-fried,Small
Vegetable Curry Spicy (Large portion),Meal/Vegetable,431,13.8,54.2,18.4,7.3,21.6,491,0,Dinner,250,gluten-free,Summer,Raw,Large
Cottage Cheese (Small portion),Dairy,65,9.2,3.2,2,0.9,1.3,59,156,Snack,100,"low-carb,gluten-free",Fall,Boiled,Small
Grilled Chicken Salad Low-Carb (Large portion),Meal/Protein,420,38.8,13,24.1,3.8,3,453,183,Lunch,300,"high-protein,gluten-free",Fall,Grilled,Large
Avocado Toast with Cheese (Large portion),Meal/Vegetarian,366,8.2,33.5,20.8,5.5,10.5,760,0,Breakfast,350,"vegetarian,gluten-free",All Year,Grilled,Large
Tuna Salad with Cheese (Large portion),Meal/Fish,240,22.3,2.8,16.7,0.3,1.2,492,105,Lunch,400,"high-protein,low-carb,gluten-free",Spring,Steamed,Large
Tuna Salad Mexican Style (Small portion),Meal/Fish,127,14.3,1.3,9,0.2,0.6,736,36,Lunch,500,"low-carb,gluten-free",Spring,Grilled,Small
Avocado Toast Asian Style (Extra Large portion),Meal/Vegetarian,383,11.2,45.2,25.9,7.4,18.4,784,0,Breakfast,500,"vegetarian,gluten-free",Fall,Boiled,Extra Large
Protein Bar with Avocado (Extra Large portion),Supplement/Processed,311,34,36.7,11.4,7.1,17.6,612,0,Snack,200,"high-protein,gluten-free",Fall,Grilled,Extra Large
Avocado Toast Mediterranean Style (Extra Large portion),Meal/Vegetarian,452,10.3,47.6,26.2,11.9,18.4,310,0,Breakfast,350,"vegetarian,gluten-free",All Year,Roasted,Extra Large
Apple with Avocado (Small portion),Fruit,64,0.3,18,0.2,2,4.6,117,0,Snack,100,gluten-free,Spring,Grilled,Small
Vegetable Curry Mediterranean Style (Small portion),Meal/Vegetable,212,7.4,27.5,11.3,6.5,9.6,467,0,Dinner,500,gluten-free,Summer,Pan-fried,Small
Whole Wheat Toast with Cheese (Extra Large portion),Grain,140,6.7,20.6,1.7,3.2,8.2,66,0,Breakfast,250,gluten-free,Winter,Raw,Extra Large
Hummus High-Fiber (Extra Large portion),Legume,122,3.5,6.3,7.6,0.7,1.7,152,0,Snack,0,"low-carb,gluten-free",Spring,Baked,Extra Large
Cottage Cheese with Cheese (Small portion),Dairy,63,8.1,3.4,2.3,0.8,1.5,126,153,Snack,250,"low-carb,gluten-free",Winter,Pan-fried,Small
Vegetable Curry Mediterranean Style (Standard portion),Meal/Vegetable,340,10.7,38.3,15.9,11.3,11,359,0,Dinner,350,gluten-free,Summer,Pan-fried,Standard
Vegetable Curry (Extra Large portion),Meal/Vegetable,486,15.5,58.7,22.7,9.5,24.4,420,0,Dinner,300,gluten-free,Spring,Grilled,Extra Large
Lentil Soup with Vegetables (Small portion),Meal/Legume,170,10.6,23.8,2,4.7,9.9,634,0,Lunch,350,gluten-free,All Year,Roasted,Small
Scrambled Eggs with Vegetables (Small portion),Protein/Dairy,62,4.6,0.7,4.7,0.1,0.2,259,163,Breakfast,300,"low-carb,gluten-free",Fall,Steamed,Small
Quinoa Bowl with Vegetables (Small portion),Meal/Grain,258,11.4,41.7,8.2,4.5,11,750,0,Lunch,400,gluten-free,Fall,Raw,Small
Avocado Toast Italian Style (Small portion),Meal/Vegetarian,189,5.1,21.3,10.2,3.7,6.8,651,0,Breakfast,250,"vegetarian,gluten-free",Spring,Steamed,Small
Avocado Toast Asian Style (Large portion),Meal/Vegetarian,320,8.3,39.5,17.6,4.1,11.1,578,0,Breakfast,400,"vegetarian,gluten-free",All Year,Roasted,Large
Beef Steak Mediterranean Style (Large portion),Protein/Meat,375,55.3,0,13.2,0,0,206,33,Dinner,400,"high-protein,low-carb,gluten-free",Summer,Boiled,Large
Veggie Burger Mediterranean Style (Large portion),Protein/Vegetarian,168,13.7,14,5.6,2.1,3.5,217,0,Lunch,500,"vegetarian,vegan,gluten-free",All Year,Steamed,Large
Apple with Avocado (Extra Large portion),Fruit,159,0.9,39.6,0.5,9.9,11.6,143,0,Snack,150,gluten-free,All Year,Grilled,Extra Large
Beef Steak with Avocado (Extra Large portion),Protein/Meat,464,70.4,0,16,0,0,108,71,Dinner,400,"high-protein,low-carb,gluten-free",Spring,Baked,Extra Large
Beef Steak Low-Carb (Standard portion),Protein/Meat,254,45.7,0,10.4,0,0,217,85,Dinner,250,"high-protein,low-carb,gluten-free",Winter,Pan-fried,Standard
Hummus Mediterranean Style (Small portion),Legume,50,1.5,2.6,3.4,0.8,0.8,220,0,Snack,100,"low-carb,gluten-free",Spring,Grilled,Small
Salmon Low-Carb (Standard portion),Protein/Fish,222,26.4,0,14.9,0,0,281,41,Dinner,250,"high-protein,low-carb,gluten-free",Summer,Steamed,Standard
Whole Wheat Toast (Standard portion),Grain,80,3.6,13.8,0.9,1.8,6.8,185,0,Breakfast,400,gluten-free,Fall,Baked,Standard
Whole Wheat Toast Asian Style (Standard portion),Grain,79,4.2,13.1,1.1,3.6,5.5,56,0,Breakfast,350,gluten-free,Winter,Baked,Standard
Chicken Breast Mexican Style (Small portion),Protein/Meat,119,24.5,0,2.5,0,0,172,115,Dinner,300,"high-protein,low-carb,gluten-free",All Year,Baked,Small
Spaghetti Bolognese High-Fiber (Standard portion),Meal/Pasta,418,21.8,58.7,18.9,9.1,19.8,512,0,Dinner,250,"high-protein,gluten-free",Winter,Pan-fried,Standard
Grilled Chicken Salad Mexican Style (Large portion),Meal/Protein,414,40.8,12.5,26.7,1.5,2.9,504,154,Lunch,350,"high-protein,gluten-free",Summer,Pan-fried,Large
Lentil Soup Light (Small portion),Meal/Legume,159,10.3,24.7,2.1,4.1,9.7,232,0,Lunch,300,gluten-free,All Year,Boiled,Small
Chicken Breast Mexican Style (Large portion),Protein/Meat,227,49.1,0,4.9,0,0,190,52,Dinner,500,"high-protein,low-carb,gluten-free",Winter,Pan-fried,Large
Whole Wheat Toast Mediterranean Style (Extra Large portion),Grain,118,6.9,21.4,1.7,3.9,9.8,179,0,Breakfast,300,gluten-free,Summer,Roasted,Extra Large
Hummus Italian Style (Small portion),Legume,49,1.3,2.8,3.8,0.4,1,202,0,Snack,100,"low-carb,gluten-free",All Year,Roasted,Small
Spaghetti Bolognese Spicy (Small portion),Meal/Pasta,323,13.9,37.5,12.4,7.4,13.7,412,0,Dinner,400,gluten-free,Summer,Roasted,Small
Protein Shake Low-Carb (Extra Large portion),Supplement,190,36.4,4.4,1.5,0.7,1.1,246,0,Breakfast,350,"high-protein,low-carb,gluten-free",All Year,Boiled,Extra Large
Scrambled Eggs (Standard portion),Protein/Dairy,95,6.5,1.1,6.4,0.3,0.2,38,96,Breakfast,400,"low-carb,gluten-free",All Year,Raw,Standard
Veggie Burger with Vegetables (Extra Large portion),Protein/Vegetarian,175,19,16.5,6.6,3.9,4.6,37,0,Lunch,250,"vegetarian,vegan,gluten-free",Summer,Boiled,Extra Large
Avocado Toast High-Fiber (Standard portion),Meal/Vegetarian,239,6.7,29.5,15.5,5.2,12.3,706,0,Breakfast,300,"vegetarian,gluten-free",Spring,Roasted,Standard
Apple Italian Style (Extra Large portion),Fruit,149,0.7,36.8,0.5,4.8,8.3,281,0,Snack,150,gluten-free,All Year,Boiled,Extra Large
Avocado Toast Italian Style (Standard portion),Meal/Vegetarian,259,7.5,28.9,14.3,4.5,7.1,614,0,Breakfast,350,"vegetarian,gluten-free",Fall,Raw,Standard
Quinoa Bowl Italian Style (Large portion),Meal/Grain,472,17.7,70,16.6,16.5,15.1,413,0,Lunch,250,gluten-free,Spring,Raw,Large
Protein Bar Low-Carb (Large portion),Supplement/Processed,284,28.6,27,9.7,3.9,5.5,758,0,Snack,200,"high-protein,gluten-free",Winter,Pan-fried,Large
Quinoa Bowl Mexican Style (Small portion),Meal/Grain,260,10.2,40.2,8.9,9.5,9,625,0,Lunch,500,gluten-free,Summer,Boiled,Small
Scrambled Eggs High-Fiber (Extra Large portion),Protein/Dairy,130,10.5,1.7,11,0.5,0.7,116,38,Breakfast,250,"low-carb,gluten-free",All Year,Roasted,Extra Large
Banana Mediterranean Style (Extra Large portion),Fruit,151,2,40.8,0.6,6.6,18,287,0,Breakfast,400,gluten-free,Fall,Steamed,Extra Large
Cottage Cheese with Avocado (Standard portion),Dairy,86,12.1,5.1,2.9,1,1.8,230,107,Snack,0,"low-carb,gluten-free",Summer,Steamed,Standard
Grilled Chicken Salad with Vegetables (Large portion),Meal/Protein,455,41.1,12.8,27.9,3.1,5.4,616,180,Lunch,350,"high-protein,gluten-free",All Year,Pan-fried,Large
Salmon with Vegetables (Large portion),Protein/Fish,282,32,0,18.5,0,0,190,163,Dinner,300,"high-protein,low-carb,gluten-free",Winter,Roasted,Large
Spaghetti Bolognese with Avocado (Extra Large portion),Meal/Pasta,667,30.5,91.6,28.8,11.5,30.6,302,0,Dinner,250,"high-protein,gluten-free",Spring,Steamed,Extra Large
Greek Yogurt with Vegetables (Standard portion),Dairy,81,11.6,4,1.4,0.8,1.9,39,115,Breakfast,300,"low-carb,gluten-free",Spring,Baked,Standard
Greek Yogurt Asian Style (Extra Large portion),Dairy,113,20.5,6.5,2.6,0.7,1.9,294,57,Breakfast,500,"high-protein,low-carb,gluten-free",Spring,Grilled,Extra Large
Turkey Sandwich Light (Standard portion),Meal/Processed,354,20.1,31,11.9,7.9,13.5,646,118,Lunch,250,"high-protein,gluten-free",Summer,Roasted,Standard
Turkey Sandwich Light (Standard portion),Meal/Processed,355,21.3,37.4,11.8,9.7,8.9,305,198,Lunch,350,"high-protein,gluten-free",Spring,Raw,Standard
Protein Shake with Vegetables (Standard portion),Supplement,127,22.4,2.9,0.9,0.8,1.1,297,0,Breakfast,250,"high-protein,low-carb,gluten-free",Fall,Baked,Standard
Vegetable Curry Low-Carb (Standard portion),Meal/Vegetable,321,9.3,39.9,16.4,8,12.8,312,0,Dinner,350,gluten-free,Spring,Steamed,Standard
Apple (Extra Large portion),Fruit,161,0.7,42.3,0.5,8,17.1,140,0,Snack,250,gluten-free,Fall,Baked,Extra Large
Chicken Breast Italian Style (Large portion),Protein/Meat,251,43.9,0,4.8,0,0,72,101,Dinner,300,"high-protein,low-carb,gluten-free",Winter,Raw,Large
Spaghetti Bolognese Extra Protein (Large portion),Meal/Pasta,567,26.7,76.6,21.8,18,34.5,336,0,Dinner,500,"high-protein,gluten-free",Spring,Steamed,Large
Protein Shake Light (Large portion),Supplement,151,32.3,4.1,1.2,1.1,1.4,232,0,Breakfast,500,"high-protein,low-carb,gluten-free",All Year,Boiled,Large
Tuna Salad Italian Style (Extra Large portion),Meal/Fish,310,31.6,3.4,19.8,0.7,1.5,412,37,Lunch,250,"high-protein,low-carb,gluten-free",Spring,Raw,Extra Large
Protein Bar Light (Standard portion),Supplement/Processed,227,18,19.8,7.3,4.5,4.7,1174,0,Snack,0,gluten-free,Fall,Raw,Standard
Cottage Cheese Mexican Style (Extra Large portion),Dairy,141,19,8.1,5.2,1.9,3.2,210,69,Snack,150,"low-carb,gluten-free",Winter,Roasted,Extra Large
Quinoa Bowl Extra Protein (Large portion),Meal/Grain,562,21.4,72.7,15.1,11.2,31.3,764,0,Lunch,300,"high-protein,gluten-free",Fall,Boiled,Large
Spaghetti Bolognese Light (Large portion),Meal/Pasta,638,27.5,76.1,22.4,19,21.8,228,0,Dinner,400,"high-protein,gluten-free",Winter,Raw,Large
Beef Steak Mexican Style (Small portion),Protein/Meat,171,30.8,0,6.8,0,0,80,123,Dinner,250,"high-protein,low-carb,gluten-free",Spring,Steamed,Small
Lentil Soup with Avocado (Standard portion),Meal/Legume,233,13.8,34.1,3.1,7.3,7.7,438,0,Lunch,400,gluten-free,Spring,Roasted,Standard
Protein Shake High-Fiber (Extra Large portion),Supplement,174,41.5,4.8,1.5,1.4,2.2,267,0,Breakfast,300,"high-protein,low-carb,gluten-free",Winter,Raw,Extra Large
Oatmeal Extra Protein (Small portion),Grain,54,1.9,10.2,1,2.8,3.9,107,0,Breakfast,400,gluten-free,Fall,Raw,Small
Protein Shake High-Fiber (Standard portion),Supplement,108,25.3,3,1,0.9,1.1,278,0,Breakfast,250,"high-protein,low-carb,gluten-free",Winter,Boiled,Standard
Tuna Salad with Cheese (Small portion),Meal/Fish,145,14.4,1.4,8.7,0.3,0.5,751,163,Lunch,400,"low-carb,gluten-free",Winter,Steamed,Small
Beef Steak Extra Protein (Extra Large portion),Protein/Meat,389,60.9,0,16.7,0,0,75,112,Dinner,400,"high-protein,low-carb,gluten-free",Summer,Roasted,Extra Large
Banana Spicy (Large portion),Fruit,137,1.6,37.4,0.5,8.3,8.4,65,0,Breakfast,400,gluten-free,All Year,Boiled,Large
Grilled Chicken Salad Light (Small portion),Meal/Protein,243,19.2,7,14.1,0.9,1.4,622,133,Lunch,500,"low-carb,gluten-free",All Year,Steamed,Small
Salmon Spicy (Small portion),Protein/Fish,146,17.5,0,9.4,0,0,164,60,Dinner,500,"low-carb,gluten-free",Spring,Steamed,Small
Beef Steak (Standard portion),Protein/Meat,270,40.1,0,10.2,0,0,12,91,Dinner,500,"high-protein,low-carb,gluten-free",All Year,Roasted,Standard
Cottage Cheese Light (Small portion),Dairy,61,8.1,3.4,2.1,0.4,0.9,290,100,Snack,0,"low-carb,gluten-free",Summer,Boiled,Small
Beef Steak Mexican Style (Large portion),Protein/Meat,322,54.5,0,13.1,0,0,109,195,Dinner,400,"high-protein,low-carb,gluten-free",Winter,Steamed,Large
Chicken Breast Asian Style (Extra Large portion),Protein/Meat,321,58.2,0,6.6,0,0,39,169,Dinner,350,"high-protein,low-carb,gluten-free",All Year,Steamed,Extra Large
Apple with Vegetables (Extra Large portion),Fruit,158,0.7,38.9,0.5,11,15,29,0,Snack,100,gluten-free,All Year,Raw,Extra Large
Hummus Spicy (Large portion),Legume,89,2.6,5,7,0.9,1.9,107,0,Snack,150,"low-carb,gluten-free",Spring,Grilled,Large
Vegetable Curry High-Fiber (Extra Large portion),Meal/Vegetable,547,16.2,59,24.3,16.9,16.3,600,0,Dinner,500,gluten-free,Fall,Pan-fried,Extra Large
Cottage Cheese Mexican Style (Extra Large portion),Dairy,139,18.4,7.9,5.2,2,3.9,137,170,Snack,100,"low-carb,gluten-free",All Year,Steamed,Extra Large
Quinoa Bowl Mediterranean Style (Extra Large portion),Meal/Grain,583,25.8,95.1,19,18.4,42.5,223,0,Lunch,250,"high-protein,gluten-free",Fall,Boiled,Extra Large
Apple Extra Protein (Extra Large portion),Fruit,138,0.8,41.1,0.5,10.9,16.1,46,0,Snack,250,gluten-free,All Year,Boiled,Extra Large
Turkey Sandwich Light (Large portion),Meal/Processed,434,27.6,44.7,14.6,4.7,19.6,537,107,Lunch,400,"high-protein,gluten-free",Summer,Boiled,Large
Avocado Toast with Avocado (Small portion),Meal/Vegetarian,193,4.8,19.9,10.7,4.2,6.6,758,0,Breakfast,500,"vegetarian,gluten-free",Summer,Pan-fried,Small
Salmon Extra Protein (Small portion),Protein/Fish,167,19.1,0,10.8,0,0,281,177,Dinner,300,"low-carb,gluten-free",Fall,Pan-fried,Small
Greek Yogurt Light (Large portion),Dairy,101,15.8,5.4,1.8,1.2,1.6,62,136,Breakfast,400,"low-carb,gluten-free",Summer,Baked,Large
Protein Bar Extra Protein (Small portion),Supplement/Processed,154,14.3,14.1,4.7,2.9,3.4,594,0,Snack,100,gluten-free,Summer,Steamed,Small
Veggie Burger with Vegetables (Large portion),Protein/Vegetarian,167,13.9,13.8,5.3,4,5.5,284,0,Lunch,300,"vegetarian,vegan,gluten-free",Summer,Boiled,Large
Grilled Chicken Salad Spicy (Standard portion),Meal/Protein,379,28.9,10.7,20.8,1.4,4.4,766,69,Lunch,350,"high-protein,gluten-free",Spring,Baked,Standard
Spaghetti Bolognese (Extra Large portion),Meal/Pasta,685,34,91.8,28.1,18.3,24.3,430,0,Dinner,400,"high-protein,gluten-free",Winter,Baked,Extra Large
Protein Shake with Vegetables (Large portion),Supplement,170,31.5,4.2,1.3,0.6,1.6,166,0,Breakfast,300,"high-protein,low-carb,gluten-free",Winter,Pan-fried,Large
Veggie Burger Low-Carb (Small portion),Protein/Vegetarian,76,8,6.6,3,1.9,3.2,45,0,Lunch,250,"low-carb,vegetarian,vegan",Spring,Baked,Small
Turkey Sandwich Low-Carb (Extra Large portion),Meal/Processed,507,33.3,54.3,20.9,9.1,21.8,656,62,Lunch,350,"high-protein,gluten-free",Summer,Baked,Extra Large
Quinoa Bowl Light (Large portion),Meal/Grain,470,17.9,70.6,15.4,16.9,22,445,0,Lunch,400,gluten-free,Summer,Roasted,Large
Hummus with Avocado (Extra Large portion),Legume,102,3.3,6.5,7.8,0.7,3,26,0,Snack,0,"low-carb,gluten-free",Winter,Baked,Extra Large
Almonds Low-Carb (Extra Large portion),Nut,282,9.2,9.3,20.6,1.7,2.6,293,0,Snack,200,"low-carb,gluten-free",All Year,Grilled,Extra Large
Protein Bar with Vegetables (Standard portion),Supplement/Processed,200,19.7,19.9,6.8,5.1,5.8,919,0,Snack,0,gluten-free,Summer,Pan-fried,Standard
Greek Yogurt Mexican Style (Large portion),Dairy,96,17.3,5,1.8,1.5,2,16,52,Breakfast,250,"low-carb,gluten-free",Fall,Baked,Large
Cottage Cheese with Vegetables (Extra Large portion),Dairy,151,20,8.4,4.7,1.5,2.5,229,155,Snack,0,"low-carb,gluten-free",Winter,Pan-fried,Extra Large
Tuna Salad Mediterranean Style (Standard portion),Meal/Fish,184,19.2,2.1,11.1,0.3,0.9,243,126,Lunch,300,"low-carb,gluten-free",Spring,Baked,Standard
Avocado Toast Asian Style (Large portion),Meal/Vegetarian,304,8.8,39.2,18.1,9.9,9,559,0,Breakfast,500,"vegetarian,gluten-free",All Year,Roasted,Large
Protein Bar Mediterranean Style (Standard portion),Supplement/Processed,189,21.7,22.5,6.6,4.9,5.9,338,0,Snack,200,"high-protein,gluten-free",Fall,Baked,Standard
Scrambled Eggs Italian Style (Large portion),Protein/Dairy,118,7.6,1.2,9.8,0.2,0.4,161,103,Breakfast,300,"low-carb,gluten-free",All Year,Steamed,Large
Grilled Chicken Salad (Large portion),Meal/Protein,446,41.2,13.8,25.4,1.9,5.1,495,168,Lunch,350,"high-protein,gluten-free",All Year,Raw,Large
Quinoa Bowl High-Fiber (Large portion),Meal/Grain,521,21.1,74.1,15.1,15.4,23.1,211,0,Lunch,400,"high-protein,gluten-free",Winter,Baked,Large
Scrambled Eggs Extra Protein (Extra Large portion),Protein/Dairy,139,9.2,1.6,11.4,0.4,0.5,128,48,Breakfast,500,"low-carb,gluten-free",Fall,Baked,Extra Large
Whole Wheat Toast with Cheese (Small portion),Grain,54,2.6,9.9,0.8,2.5,3.2,107,0,Breakfast,350,"low-carb,gluten-free",Summer,Grilled,Small
Greek Yogurt (Extra Large portion),Dairy,124,21.9,6.6,2.3,1.8,1.5,196,132,Breakfast,350,"high-protein,low-carb,gluten-free",Spring,Grilled,Extra Large
Cottage Cheese Italian Style (Extra Large portion),Dairy,155,18.1,8.6,4.9,1.3,3.3,263,111,Snack,200,"low-carb,gluten-free",Spring,Baked,Extra Large
Greek Yogurt Italian Style (Large portion),Dairy,97,16.5,5.2,1.8,1.2,1.2,45,149,Breakfast,350,"low-carb,gluten-free",Winter,Boiled,Large
Quinoa Bowl with Cheese (Standard portion),Meal/Grain,430,14.9,55.8,11.7,7.3,20.2,773,0,Lunch,300,gluten-free,Winter,Pan-fried,Standard
Greek Yogurt Mediterranean Style (Standard portion),Dairy,75,13.2,4.2,1.6,1.1,1.6,227,103,Breakfast,250,"low-carb,gluten-free",Fall,Baked,Standard
Banana Asian Style (Extra Large portion),Fruit,167,2.3,40.4,0.6,9,13.7,129,0,Breakfast,400,gluten-free,Spring,Baked,Extra Large
Protein Shake Spicy (Large portion),Supplement,157,30.2,3.7,1.4,0.8,0.8,19,0,Breakfast,250,"high-protein,low-carb,gluten-free",Summer,Boiled,Large
